날짜,Open,High,Low,Close,Volume
2023-12-26,71700,72900,71700,72300,3854
2023-12-27,71400,72600,70800,71200,4072
2023-12-28,71100,71400,70300,70300,9384
2024-01-02,70900,70900,69900,70400,4835
2024-01-03,70000,71600,70000,71200,4568
2024-01-04,71100,71200,70200,71000,5282
2024-01-05,70400,73200,70000,73100,12777
2024-01-08,72900,73200,71700,72700,6537
2024-01-09,71800,73600,71800,73500,5369
2024-01-10,73500,75500,73200,74500,7531
2024-01-11,74300,74500,73600,74500,2666
2024-01-12,73500,74500,70500,71200,18233
2024-01-15,70500,72100,70300,72100,3087
2024-01-16,72100,72100,71200,71900,1239
2024-01-17,71900,71900,67700,67700,13954
2024-01-18,67600,67700,65800,66800,16721
2024-01-19,66900,67500,66100,67300,7888
2024-01-22,67600,67800,66500,67500,5369
2024-01-23,67500,70200,67400,70000,5215
2024-01-24,70100,70900,68600,69900,5071
2024-01-25,70000,70500,69100,70500,1511
2024-01-26,70500,70500,69600,69600,3919
2024-01-29,70300,71000,69000,70700,8370
2024-01-30,71000,72100,70500,71700,5514
2024-01-31,71600,74200,71000,73300,10526
2024-02-01,73300,78800,73300,76700,33741
2024-02-02,76700,76800,74700,76100,5262
2024-02-05,76000,76500,74300,76400,9430
2024-02-06,76000,77000,75400,76200,6403
2024-02-07,76000,81200,74600,80500,30842
2024-02-08,80300,80800,79200,79800,11010
2024-02-13,79800,80000,74200,78100,9712
2024-02-14,77900,77900,75700,75700,10657
2024-02-15,76900,76900,73700,74000,7543
2024-02-16,74500,75800,74100,75700,3847
2024-02-19,75800,80300,75800,79800,22955
2024-02-20,79800,79800,76000,77400,6767
2024-02-21,77400,77700,75900,77700,7097
2024-02-22,77700,77700,76100,76600,5628
2024-02-23,76700,76700,75400,76300,5459
2024-02-26,76300,76300,72500,73900,17447
2024-02-27,73900,73900,72100,72100,6566
2024-02-28,72500,74800,71900,74800,21708
2024-02-29,75000,75000,73900,74500,5884
2024-03-04,74600,75400,74200,74900,4688
2024-03-05,74900,76500,74100,75300,7046
2024-03-06,75300,75600,74500,75300,3346
2024-03-07,75700,75700,73800,74400,6566
2024-03-08,75300,75300,72700,74300,16251
2024-03-11,74300,74500,72400,72500,10307
2024-03-12,73000,73600,71900,72400,5902
2024-03-13,73000,73600,72000,73600,10780
2024-03-14,73700,75400,73400,75200,13019
2024-03-15,74800,82300,74800,82100,44540
2024-03-18,82100,84000,80800,83500,34050
2024-03-19,82400,83100,81100,83000,16621
2024-03-20,82100,84000,80900,84000,9210
2024-03-21,84000,89500,83200,88100,45167
2024-03-22,87200,89100,86900,88000,12505
2024-03-25,88000,88000,82500,84400,10729
2024-03-26,84400,84500,82800,84200,5055
2024-03-27,84200,86900,83300,85600,4153
2024-03-28,85500,89000,84800,89000,19803
2024-03-29,89400,92100,89100,91000,40438
2024-04-01,90600,90600,87500,88700,36284
2024-04-02,88000,90300,84800,86200,32609
2024-04-03,85200,88300,82800,87800,49126
2024-04-04,86000,89900,85400,88800,22245
2024-04-05,88100,88800,85500,85600,16585
2024-04-08,86000,86100,82500,84100,31243
2024-04-09,84100,84300,80800,82500,19137
2024-04-11,81000,82000,78000,80100,22558
2024-04-12,80000,80000,76500,78000,29562
2024-04-15,77800,79300,76400,79000,9784
2024-04-16,78000,78300,77000,78000,12811
2024-04-17,78000,79200,77500,78200,6202
2024-04-18,78400,83400,78300,82500,18254
2024-04-19,82000,82000,78900,81200,10189
2024-04-22,80200,85500,80200,85500,16103
2024-04-23,85500,86000,84200,85800,5308
2024-04-24,86000,86900,84600,86100,4959
2024-04-25,85900,86100,84800,85800,3088
2024-04-26,85300,86100,84800,85700,3189
2024-04-29,86100,90000,86100,89000,15966
2024-04-30,88800,89900,88000,89000,12461
2024-05-02,88800,90000,87600,89600,15545
2024-05-03,89600,89600,87200,87800,9793
2024-05-07,88000,90900,88000,90700,23794
2024-05-08,90500,93600,90500,91900,23577
2024-05-09,91800,93000,90400,92200,14683
2024-05-10,92200,100200,92200,100200,39323
2024-05-13,99600,104400,99600,104400,20690
2024-05-14,104200,104200,101500,102900,14583
2024-05-16,102600,104400,100200,104200,15665
2024-05-17,104100,104100,96000,96000,27086
2024-05-20,96900,97000,93800,95300,13517
2024-05-21,95300,95300,92700,94000,9285
2024-05-22,94000,96200,93500,96000,16702
2024-05-23,95600,96000,94000,96000,9523
2024-05-24,95900,98700,95400,98400,10701
2024-05-27,99200,101000,98600,99300,10315
2024-05-28,99100,100800,97000,97000,12076
2024-05-29,97900,97900,94500,96500,6561
2024-05-30,96500,97500,94500,97200,8780
2024-05-31,96800,97600,94700,97300,17089
2024-06-03,97300,97300,93000,93000,9992
2024-06-04,93000,93000,86700,86800,38297
2024-06-05,87000,88000,83700,85900,26304
2024-06-07,86000,89500,85800,89500,11577
2024-06-10,87700,90500,87700,89100,7355
2024-06-11,88700,91200,88700,90100,8895
2024-06-12,90300,90800,89400,90300,2614
2024-06-13,90300,91000,89300,89900,3423
2024-06-14,89200,90600,89000,90000,5042
2024-06-17,90600,90600,88900,89600,5412
2024-06-18,90000,90000,88400,89500,3484
2024-06-19,89500,89700,85700,87400,11448
2024-06-20,87400,87400,85600,86400,10241
2024-06-21,86300,86900,85400,86900,6244
2024-06-24,86900,86900,82000,82000,22412
2024-06-25,82000,87300,82000,86900,8962
2024-06-26,85500,86800,85300,86800,4818
2024-06-27,86700,86700,84600,85400,5681
2024-06-28,84800,86100,84000,86100,7266
2024-07-01,86000,86200,84900,85100,3424
2024-07-02,86000,86000,82900,84200,7906
2024-07-03,84200,84200,81400,84100,16090
2024-07-04,83900,84100,76500,76700,41563
2024-07-05,78800,81700,77700,80500,15144
2024-07-08,81500,81800,80500,81600,6126
2024-07-09,81400,84700,81300,84300,9859
2024-07-10,82900,85600,82900,85400,9241
2024-07-11,86000,87200,84400,87200,12067
2024-07-12,87200,87200,85800,87200,4516
2024-07-15,87000,88500,85500,87200,14309
2024-07-16,85600,87100,84600,87000,11881
2024-07-17,86900,87800,85700,87800,9185
2024-07-18,87200,87700,84500,87400,7494
2024-07-19,87200,87800,85800,87800,7411
2024-07-22,87800,87800,85200,87400,9383
2024-07-23,87200,95500,87200,95400,40272
2024-07-24,95000,95300,91700,94200,10735
2024-07-25,93500,93700,91300,93100,6289
2024-07-26,92600,93700,89200,92700,12776
2024-07-29,91000,92900,89700,92900,9589
2024-07-30,92700,95300,91700,94700,16849
2024-07-31,94700,97100,94700,96800,11652
2024-08-01,95200,98200,95200,97800,6336
2024-08-02,96000,96000,91400,93000,12291
2024-08-05,91200,91200,79800,81000,33225
2024-08-06,82000,84700,81800,84700,28367
2024-08-07,84700,86900,82000,85000,7273
2024-08-08,84000,86900,83300,86900,9407
2024-08-09,87000,87800,84600,86400,6492
2024-08-12,86400,88000,85300,87600,8329
2024-08-13,87600,87600,84300,84900,9110
2024-08-14,84900,86400,84400,86200,6570
2024-08-16,87800,95500,87800,94000,37612
2024-08-19,93800,94500,92200,93700,6346
2024-08-20,94300,94600,91600,93100,8211
2024-08-21,92700,94000,91900,92200,4638
2024-08-22,93300,93500,91800,93300,4688
2024-08-23,92600,95200,92300,94800,13493
2024-08-26,94800,95000,91600,92500,6637
2024-08-27,92500,92500,89800,89800,6361
2024-08-28,89800,90200,87500,90100,9229
2024-08-29,88700,89800,85400,86000,17904
2024-08-30,86100,86400,84500,84800,14326
2024-09-02,84600,86000,82800,85700,12408
2024-09-03,85600,88400,84800,88200,10221
2024-09-04,86400,88200,84400,88200,11607
2024-09-05,88200,89100,87000,88900,10922
2024-09-06,88500,91500,85900,91500,16500
2024-09-09,90500,94400,89500,94300,19273
2024-09-10,94300,94500,91900,92800,6946
2024-09-11,92800,93000,90700,92900,5320
2024-09-12,93000,93000,89400,92700,14780
2024-09-13,91800,92500,88700,90200,12519
2024-09-19,90500,91000,89200,91000,10140
2024-09-20,91200,92800,90200,91900,14263
2024-09-23,91900,91900,89500,90900,11417
2024-09-24,90300,91600,87900,88500,8211
2024-09-25,89000,89000,85800,86700,15490
2024-09-26,86700,87900,86700,87800,3087
2024-09-27,88000,90100,87000,89700,5656
2024-09-30,90200,92000,88800,89200,9040
2024-10-02,89200,89200,86500,89100,13135
2024-10-04,88000,89800,87700,89800,6165
2024-10-07,89800,89800,87300,87400,8600
2024-10-08,87400,87400,82900,82900,26489
2024-10-10,83700,84000,82700,83000,13924
2024-10-11,83000,83000,80700,80700,18130
2024-10-14,81000,83100,81000,82600,4613
2024-10-15,82600,83100,82100,83000,2653
2024-10-16,82900,82900,81500,82200,4728
2024-10-17,82100,83500,82000,83500,3573
2024-10-18,83500,84200,81700,83200,8620
2024-10-21,83200,83400,81200,81200,8123
2024-10-22,81500,81500,79800,80800,5406
2024-10-23,81000,81500,79000,80300,16609
