날짜,Open,High,Low,Close,Volume
2023-12-26,6430,6780,6210,6290,1498158
2023-12-27,6280,6620,6180,6540,1348780
2023-12-28,6650,6930,6450,6930,2806646
2024-01-02,7070,7080,6830,6960,2131497
2024-01-03,6850,7460,6820,7460,2731490
2024-01-04,7580,7810,7030,7090,4739674
2024-01-05,7010,7500,6980,7390,2530486
2024-01-08,7560,8080,7560,7650,6306172
2024-01-09,7730,7730,7390,7440,1589611
2024-01-10,7440,7440,6940,6940,1950211
2024-01-11,7140,7240,6920,6980,1078310
2024-01-12,6950,7100,6740,7070,923810
2024-01-15,7030,7040,6690,6690,897505
2024-01-16,6690,6900,6480,6900,873533
2024-01-17,6810,7080,6700,6870,1200104
2024-01-18,6850,7270,6820,7120,1734867
2024-01-19,7180,7250,6910,6950,964038
2024-01-22,6990,7060,6700,6950,827208
2024-01-23,6950,7240,6820,6860,1095235
2024-01-24,6870,6930,6500,6510,1060481
2024-01-25,6490,6550,6280,6510,772429
2024-01-26,6350,6600,6330,6360,511205
2024-01-29,6380,6380,6040,6100,672914
2024-01-30,6150,6220,5830,5880,749272
2024-01-31,5850,5980,5770,5870,494681
2024-02-01,5770,5870,5650,5780,545197
2024-02-02,5870,5920,5670,5690,444850
2024-02-05,5630,5820,5500,5760,461895
2024-02-06,5590,5640,5410,5570,790844
2024-02-07,5530,5730,5450,5640,336956
2024-02-08,5620,5990,5620,5960,755780
2024-02-13,6000,6020,5840,5930,409832
2024-02-14,5780,6130,5770,6100,425002
2024-02-15,6200,6330,6100,6140,391529
2024-02-16,6180,6290,6100,6230,278302
2024-02-19,6230,6740,6170,6220,1722969
2024-02-20,6320,6620,6240,6420,910134
2024-02-21,6410,6410,6210,6300,407601
2024-02-22,6310,6360,6200,6210,276780
2024-02-23,6210,6450,6060,6290,511696
2024-02-26,6180,6350,6160,6160,240906
2024-02-27,6100,6300,6080,6270,400128
2024-02-28,6270,6380,6210,6220,238240
2024-02-29,6270,6460,6100,6130,463484
2024-03-04,6210,6270,6090,6100,303698
2024-03-05,6190,6370,6070,6180,417237
2024-03-06,6180,6370,6110,6200,355638
2024-03-07,6200,6280,5660,5700,1078305
2024-03-08,5750,5890,5590,5700,456947
2024-03-11,5610,5970,5610,5810,440875
2024-03-12,5790,5860,5510,5620,630720
2024-03-13,5690,5690,5520,5630,294027
2024-03-14,5560,5650,5500,5500,244235
2024-03-15,5530,5530,5350,5400,295863
2024-03-18,5390,5530,5390,5440,154982
2024-03-19,5420,5480,5350,5470,202585
2024-03-20,5550,5680,5480,5540,235749
2024-03-21,5600,5750,5550,5680,451525
2024-03-22,5750,5750,5520,5540,279724
2024-03-25,5550,5670,5480,5480,183463
2024-03-26,5470,5540,5350,5370,288900
2024-03-27,5480,5650,5290,5410,444767
2024-03-28,5480,5590,5280,5280,366989
2024-03-29,5210,5310,5180,5240,305413
2024-04-01,5240,5480,5190,5450,322845
2024-04-02,5400,5400,5220,5220,269990
2024-04-03,5220,5270,5010,5040,383533
2024-04-04,5080,5130,4985,5090,257147
2024-04-05,4975,5130,4975,5080,209824
2024-04-08,5130,5820,5000,5260,3414394
2024-04-09,5230,5500,5230,5400,756009
2024-04-11,5300,5470,5180,5360,313101
2024-04-12,5380,5600,5350,5430,391434
2024-04-15,5320,5500,5180,5180,375524
2024-04-16,5230,5600,5170,5300,939570
2024-04-17,5320,5390,5030,5040,670337
2024-04-18,5080,5120,5040,5080,243373
2024-04-19,5080,5130,4705,4830,492986
2024-04-22,4830,4955,4750,4820,351623
2024-04-23,4820,4870,4655,4665,416739
2024-04-24,4700,5460,4700,5100,7516032
2024-04-25,5150,5180,4875,4880,876755
2024-04-26,4995,5030,4775,4865,516097
2024-04-29,5010,5320,5010,5240,1170461
2024-04-30,5740,6540,5580,6230,24099405
2024-05-02,6100,6530,6040,6500,8435229
2024-05-03,6440,6550,6360,6430,3430065
2024-05-07,6520,6530,6330,6400,1900964
2024-05-08,6330,6820,6190,6400,5763137
2024-05-09,6250,6330,5920,5950,2038868
2024-05-10,5850,5950,5140,5140,4215330
2024-05-13,5140,5160,4950,5020,1123147
2024-05-14,5060,5410,5060,5310,1626477
2024-05-16,5350,5410,5250,5250,767592
2024-05-17,5240,5400,5160,5170,528593
2024-05-20,5430,5620,5340,5420,2814192
2024-05-21,5400,5510,5270,5510,652519
2024-05-22,5580,5620,5370,5430,647581
2024-05-23,5370,5510,5200,5420,733538
2024-05-24,5490,5730,5300,5330,1889339
2024-05-27,5450,6920,5400,6770,33870533
2024-05-28,7050,7150,6670,6950,20975788
2024-05-29,6950,7320,6610,6610,12159639
2024-05-30,7230,7800,6600,6650,44912173
2024-05-31,6630,6920,6540,6540,8417207
2024-06-03,6680,6880,6330,6460,4902142
2024-06-04,6360,6470,6000,6160,3681560
2024-06-05,6160,6260,6030,6070,2123377
2024-06-07,6110,6280,6070,6100,1958075
2024-06-10,6100,6300,6050,6150,1509029
2024-06-11,6270,6270,5960,6090,1313100
2024-06-12,6090,6290,6090,6130,1739401
2024-06-13,6140,6180,6050,6090,1078364
2024-06-14,6190,6590,6130,6210,6135282
2024-06-17,6210,6360,6100,6100,1467124
2024-06-18,6270,6730,6270,6370,7216881
2024-06-19,6430,6580,6350,6430,2490073
2024-06-20,6560,6590,6050,6090,2404545
2024-06-21,6090,6200,6020,6110,992017
2024-06-24,6000,6070,5640,5640,1839014
2024-06-25,5640,6340,5400,5940,4020046
2024-06-26,5940,6020,5810,5930,848365
2024-06-27,5970,6000,5730,5750,871476
2024-06-28,5790,5820,5660,5700,552526
2024-07-01,5680,5750,5620,5720,504759
2024-07-02,5700,5790,5470,5510,891197
2024-07-03,5600,5900,5600,5750,1532884
2024-07-04,5710,5930,5710,5720,867541
2024-07-05,5730,5740,5470,5470,1021565
2024-07-08,5470,5730,5400,5660,634838
2024-07-09,5730,6140,5700,5900,4308677
2024-07-10,6080,6180,5920,5960,1557491
2024-07-11,6010,6020,5810,5850,758768
2024-07-12,5700,5770,5560,5600,750694
2024-07-15,5660,5920,5660,5720,899525
2024-07-16,5730,5780,5520,5680,574478
2024-07-17,5660,5740,5500,5510,585243
2024-07-18,6000,6400,5490,5500,4180637
2024-07-19,5500,5530,5210,5320,814234
2024-07-22,5300,5360,5050,5120,710436
2024-07-23,5120,5290,5060,5070,672651
2024-07-24,5020,5330,5010,5260,935576
2024-07-25,5090,5170,5050,5070,450415
2024-07-26,5050,5110,4820,4875,707371
2024-07-29,4880,5060,4875,4900,441191
2024-07-30,4895,4940,4800,4805,336606
2024-07-31,4810,4860,4690,4735,327431
2024-08-01,4795,4860,4740,4740,293465
2024-08-02,4650,4715,4355,4400,644040
2024-08-05,4190,4310,3590,3690,1202945
2024-08-06,3670,4050,3670,3980,976698
2024-08-07,3980,4115,3980,4040,264694
2024-08-08,3950,4070,3900,4010,258057
2024-08-09,4170,4210,4045,4120,200303
2024-08-12,4125,4310,4125,4285,249850
2024-08-13,4280,4365,4205,4260,197563
2024-08-14,4375,4400,4305,4375,234894
2024-08-16,4490,4565,4395,4515,399366
2024-08-19,4490,4550,4355,4385,209154
2024-08-20,4395,4510,4395,4485,179024
2024-08-21,4485,4490,4400,4440,173739
2024-08-22,4470,4520,4345,4345,207989
2024-08-23,4260,4440,4040,4315,180383
2024-08-26,4330,4370,4200,4250,176137
2024-08-27,4205,4400,4140,4400,188753
2024-08-28,4425,5070,4305,4965,4639712
2024-08-29,5650,5700,4950,4950,9095548
2024-08-30,5000,5200,4965,5040,1379311
2024-09-02,5280,5310,5020,5020,1424065
2024-09-03,4980,5100,4940,4940,578486
