날짜,Open,High,Low,Close,Volume
2025-07-10,4750,4960,4482,4520,8779479
2025-07-11,4495,4550,4355,4515,1260801
2025-07-14,4500,4515,4430,4465,482123
2025-07-15,4445,4570,4435,4565,502721
2025-07-16,4565,4570,4490,4530,172186
2025-07-17,4510,4540,4495,4530,152308
2025-07-18,4530,4560,4490,4505,171813
2025-07-21,4505,4505,4465,4470,92603
2025-07-22,4480,4480,4420,4445,190979
2025-07-23,4445,4470,4430,4465,57822
2025-07-24,4460,4480,4455,4465,81454
2025-07-25,4465,4490,4445,4485,76674
2025-07-28,4470,4475,4445,4450,65950
2025-07-29,4450,4450,4410,4415,78707
2025-07-30,4410,4440,4405,4420,58470
2025-07-31,4420,4430,4405,4410,43759
2025-08-01,4410,4425,4350,4350,59040
2025-08-04,4350,4370,4345,4350,52899
2025-08-05,4350,4385,4340,4360,70714
2025-08-06,4360,4375,4345,4350,33331
2025-08-07,4350,4367,4330,4340,57063
2025-08-08,4330,4415,4325,4395,71158
2025-08-11,4420,4485,4405,4445,151541
2025-08-12,4450,4580,4435,4540,294171
2025-08-13,4520,4645,4485,4645,301930
2025-08-14,4620,4860,4595,4690,1971656
2025-08-18,4670,4670,4430,4480,497829
2025-08-19,4520,4520,4430,4470,1287577
2025-08-20,4470,4470,4340,4350,286872
2025-08-21,4370,4390,4350,4380,29887
2025-08-22,4385,4420,4360,4400,436450
2025-08-25,4400,4425,4380,4415,529529
2025-08-26,4400,4400,4340,4340,373033
2025-08-27,4350,4355,4315,4340,134287
2025-08-28,4305,4340,4300,4340,58225
2025-08-29,4345,4350,4325,4350,55515
2025-09-01,4350,4350,4325,4330,39818
2025-09-02,4320,4350,4315,4320,53154
2025-09-03,4320,4340,4295,4335,75653
2025-09-04,4330,4330,4295,4300,74042
2025-09-05,4300,4300,4275,4280,89011
2025-09-08,4280,4300,4255,4275,395751
2025-09-09,4295,4350,4275,4350,50422
2025-09-10,4320,4355,4310,4310,49634
2025-09-11,4340,4350,4310,4315,69719
2025-09-12,4385,4385,4300,4330,57517
2025-09-15,4330,4375,4320,4375,61492
2025-09-16,4375,4385,4355,4365,52441
2025-09-17,4360,4365,4340,4350,50162
2025-09-18,4350,4395,4335,4355,62125
2025-09-19,4360,4385,4335,4345,43861
2025-09-22,4350,4360,4325,4360,44382
2025-09-23,4360,4365,4330,4365,61279
2025-09-24,4350,4370,4315,4345,55033
2025-09-25,4345,4400,4345,4400,98369
2025-09-26,4390,4410,4350,4375,71204
2025-09-29,4375,4435,4375,4430,113720
2025-09-30,4420,4430,4387,4430,38842
2025-10-01,4430,4515,4410,4500,153709
2025-10-02,4500,4525,4400,4450,110288
2025-10-10,4450,4465,4415,4460,48848
2025-10-13,4460,4475,4405,4460,70450
2025-10-14,4460,4460,4415,4450,74981
2025-10-15,4430,4450,4400,4415,39679
2025-10-16,4415,4490,4400,4450,52973
2025-10-17,4450,4450,4420,4445,39996
2025-10-20,4420,4465,4420,4450,10796
2025-10-21,4450,4450,4425,4440,41149
2025-10-22,4470,4470,4420,4450,30988
2025-10-23,4450,4455,4425,4455,38398
2025-10-24,4465,4465,4435,4465,29373
2025-10-27,4465,4475,4445,4465,19877
2025-10-28,4455,4480,4445,4480,29904
2025-10-29,4460,4475,4445,4460,24467
2025-10-30,4460,4490,4440,4440,22830
2025-10-31,4475,4475,4420,4450,23720
2025-11-03,4450,4475,4400,4420,46344
2025-11-04,4420,4435,4410,4435,13033
2025-11-05,4445,4445,4400,4425,44414
2025-11-06,4425,4425,4360,4375,44224
2025-11-07,4400,4400,4360,4400,24719
2025-11-10,4420,4420,4395,4415,16502
2025-11-11,4425,4485,4405,4475,33743
2025-11-12,4480,4490,4440,4485,557293
2025-11-13,4490,4520,4485,4505,36259
2025-11-14,4500,4520,4485,4485,25658
2025-11-17,4515,4515,4460,4470,16065
2025-11-18,4500,4500,4445,4450,34407
2025-11-19,4450,4485,4435,4460,12527
2025-11-20,4500,4535,4470,4505,56748
2025-11-21,4505,4540,4495,4500,534088
2025-11-24,4540,4585,4480,4525,70091
2025-11-25,4525,4565,4260,4500,109691
2025-11-26,4510,4555,4500,4530,50322
2025-11-27,4490,4555,4480,4555,59887
2025-11-28,4555,4650,4525,4600,64492
2025-12-01,4615,4650,4580,4640,49202
2025-12-02,4645,4665,4625,4660,37462
2025-12-03,4665,4670,4630,4655,37722
2025-12-04,4665,4725,4625,4725,32141
2025-12-05,4725,4750,4660,4750,57457
2025-12-08,4755,4760,4665,4670,57809
2025-12-09,4750,4750,4425,4670,83738
2025-12-10,4685,4685,4620,4675,29819
2025-12-11,4700,4700,4475,4665,294196
2025-12-12,4660,4660,4565,4580,50854
2025-12-15,4635,4635,4490,4530,45211
2025-12-16,4590,4590,4485,4495,57409
2025-12-17,4600,4600,4465,4490,51476
2025-12-18,4545,4545,4475,4515,39419
2025-12-19,4525,4525,4485,4500,36991
2025-12-22,4550,4550,4475,4475,55208
2025-12-23,4510,4510,4450,4470,66512
2025-12-24,4480,4525,4465,4475,38369
