날짜,Open,High,Low,Close,Volume
2025-08-19,51000,58400,44900,45000,11843928
2025-08-20,46400,47000,37600,39450,942111
2025-08-21,39050,40650,37250,39200,652338
2025-08-22,41400,44700,40000,40450,1361610
2025-08-25,41700,41800,38350,39200,290106
2025-08-26,42600,46400,39300,44550,2634221
2025-08-27,45150,51900,44100,49150,3385422
2025-08-28,48800,49650,47550,47900,534664
2025-08-29,48350,53200,47100,51800,1677990
2025-09-01,52400,52900,50100,50700,408700
2025-09-02,52700,54700,50100,50800,917079
2025-09-03,50100,50500,48300,48800,340939
2025-09-04,48350,50400,47500,48600,332747
2025-09-05,49150,50400,48150,49300,244803
2025-09-08,50200,51800,49850,51200,331828
2025-09-09,53800,57600,47500,47500,1351311
2025-09-10,48000,48300,46550,47600,257282
2025-09-11,49450,50300,48200,48600,280944
2025-09-12,49100,49250,46450,46650,230611
2025-09-15,45150,45600,44500,44750,135539
2025-09-16,45600,45750,44800,45150,82964
2025-09-17,46100,46150,44050,44600,84077
2025-09-18,44150,44150,42800,43100,117130
2025-09-19,41600,41900,40350,41000,261644
2025-09-22,41600,42300,40400,42050,252833
2025-09-23,41600,44400,40550,42600,427157
2025-09-24,42650,43300,41500,42150,193892
2025-09-25,43350,43750,42400,42600,283424
2025-09-26,42250,42400,40500,41000,165536
2025-09-29,41000,41150,39650,40150,153266
2025-09-30,39800,41000,39800,40600,119901
2025-10-01,40600,41800,40400,40700,127362
2025-10-02,40950,41600,40050,40750,167917
2025-10-10,40850,42100,40750,42000,142717
2025-10-13,41050,42650,40650,40700,140991
2025-10-14,40750,40800,38600,38900,177980
2025-10-15,39100,39900,38900,39700,64598
2025-10-16,39950,42000,39150,41150,249881
2025-10-17,41550,42350,40100,40100,140508
2025-10-20,40400,43200,40200,42600,292535
2025-10-21,42900,43700,42100,43650,411582
2025-10-22,44000,44200,42350,43250,174052
2025-10-23,43250,44250,42600,42800,275564
2025-10-24,42800,43800,42100,42550,159447
2025-10-27,43000,49200,43000,45450,2050878
2025-10-28,46100,46150,43900,44850,397144
2025-10-29,44950,45000,42800,43650,349003
2025-10-30,45350,46150,42150,42250,344049
2025-10-31,41500,42000,40750,41100,136544
2025-11-03,41500,42100,40000,40050,170713
2025-11-04,40050,40200,38550,38600,184348
2025-11-05,38250,38250,35200,36100,168238
2025-11-06,37000,37050,35050,35250,92697
2025-11-07,33500,35000,33350,34350,128522
2025-11-10,34450,34800,33450,34550,66086
2025-11-11,35000,36300,35000,35250,99038
2025-11-12,35500,35750,34750,34900,53577
2025-11-13,35050,35600,34000,34800,56788
2025-11-14,33400,36050,33400,34250,109265
2025-11-17,34600,35800,33050,34600,97204
2025-11-18,34300,34800,32650,32750,64623
2025-11-19,30000,31750,29550,31350,314005
2025-11-20,31400,32400,31200,32200,99260
2025-11-21,31050,31350,30300,30500,69849
2025-11-24,30900,31250,29750,31200,50950
2025-11-25,31200,31800,30050,30650,56930
2025-11-26,30650,31650,30450,31450,44609
2025-11-27,31650,32100,31100,31200,41506
2025-11-28,31250,32550,31200,32200,66082
2025-12-01,32300,32400,31000,31150,39575
2025-12-02,31400,31900,31200,31650,33852
2025-12-03,31850,32100,31200,31800,40906
2025-12-04,31800,31800,30600,30700,43727
2025-12-05,30600,31300,30500,30850,49877
2025-12-08,31250,31250,30300,31000,44920
2025-12-09,30600,31450,30350,30850,54532
2025-12-10,30850,30950,30200,30250,50163
2025-12-11,31150,32700,30300,30300,74006
2025-12-12,30450,30950,30200,30600,60036
2025-12-15,30500,30750,29900,30600,41345
2025-12-16,30300,30550,29350,29350,101109
2025-12-17,29400,29850,28450,28750,86523
2025-12-18,28500,28700,27900,28500,58926
2025-12-19,28650,30300,28400,30300,72877
