날짜,Open,High,Low,Close,Volume
2025-12-16,45900,77000,38800,67000,30320190
2025-12-17,63800,75500,47500,47500,7136780
2025-12-18,50000,56800,46650,48250,5905906
2025-12-19,50400,53700,41250,43450,2476739
2025-12-22,41900,44500,38250,38750,951922
2025-12-23,39150,49600,33800,47200,5074714
2025-12-24,47000,51600,42550,42550,2510493
2025-12-26,42500,45500,39400,39600,880911
2025-12-29,38850,41000,35850,36000,745314
2025-12-30,35950,42000,35350,37150,1985494
2026-01-02,29000,34650,28950,31800,1434043
