날짜,Open,High,Low,Close,Volume
2023-12-26,98700,99600,98600,99600,4164
2023-12-27,99600,100000,97200,98000,5371
2023-12-28,98700,100000,97800,99600,4307
2024-01-02,99700,99900,98900,99800,2750
2024-01-03,99600,99900,98900,99300,2298
2024-01-04,98900,98900,98200,98700,1863
2024-01-05,98700,98700,96900,97400,2485
2024-01-08,97400,97400,96200,96900,2442
2024-01-09,97500,97500,97000,97000,1032
2024-01-10,97000,97100,96000,96400,1556
2024-01-11,95300,96000,95200,95700,2220
2024-01-12,95800,95900,95400,95400,1074
2024-01-15,94700,95400,93800,94000,1489
2024-01-16,93500,94000,92500,93100,1402
2024-01-17,93500,93500,90900,91200,3300
2024-01-18,91900,91900,90800,91200,1771
2024-01-19,91200,93600,91200,93600,2308
2024-01-22,93700,98200,93600,96400,9679
2024-01-23,96100,96900,94000,96800,5242
2024-01-24,96600,97100,95000,96900,2196
2024-01-25,97500,97600,96100,96900,2306
2024-01-26,96900,98500,96900,98200,1804
2024-01-29,98100,102000,97600,101300,9772
2024-01-30,100200,102500,100200,101800,3982
2024-01-31,101500,106400,96000,105800,16943
2024-02-01,109000,114900,107500,112200,48150
2024-02-02,115000,115000,107100,112000,29055
2024-02-05,113000,115800,108100,111000,32772
2024-02-06,111000,111800,106700,107300,22099
2024-02-07,107400,115000,107300,112700,27469
2024-02-08,112900,119100,112900,117700,25501
2024-02-13,117900,123500,116100,121300,37937
2024-02-14,120600,120600,117100,119800,16890
2024-02-15,122300,127200,120000,122500,40170
2024-02-16,123000,128000,121200,127000,28616
2024-02-19,128000,133900,126000,131000,45558
2024-02-20,133000,133000,121700,124300,33637
2024-02-21,123700,126800,122000,123400,11380
2024-02-22,124000,126300,122200,126300,11087
2024-02-23,127500,129700,121400,122300,13392
2024-02-26,121100,121500,113800,116000,19132
2024-02-27,116000,116000,113100,113900,7570
2024-02-28,113400,125900,112700,119300,18468
2024-02-29,119900,124800,118000,118200,8411
2024-03-04,119900,127400,119900,124900,21809
2024-03-05,124900,128800,122900,125400,10496
2024-03-06,124900,125700,122300,125600,5858
2024-03-07,125900,128000,124400,126800,6568
2024-03-08,127700,128600,125000,127000,8807
2024-03-11,127200,127900,124800,126600,6284
2024-03-12,127500,127500,121400,122800,10617
2024-03-13,122600,125600,121100,124600,6430
2024-03-14,125800,127600,124400,127000,15622
2024-03-15,124000,126600,113400,114500,31271
2024-03-18,112000,114600,111300,112600,9459
2024-03-19,112900,112900,111000,111300,3181
2024-03-20,111400,116400,111100,115800,3677
2024-03-21,116700,119800,116000,119800,10790
2024-03-22,119800,120000,116500,118000,6869
2024-03-25,119000,119000,115600,116300,3259
2024-03-26,116200,118000,116000,117000,4411
2024-03-27,117700,117700,114600,114800,3934
2024-03-28,116800,116800,114300,116700,2503
2024-03-29,116700,117900,113300,113300,3471
2024-04-01,114000,114700,112200,112200,3904
2024-04-02,112600,113300,110300,110800,5078
2024-04-03,111200,111200,108400,108400,4698
2024-04-04,109000,111100,108500,110000,1782
2024-04-05,109400,112000,108900,110200,1846
2024-04-08,110200,113500,110200,112100,2246
2024-04-09,113500,113800,110300,110400,2129
2024-04-11,108500,108800,102400,106100,9128
2024-04-12,106000,107000,103000,103400,8670
2024-04-15,103400,106200,102000,105700,3899
2024-04-16,104000,107000,102500,103000,4892
2024-04-17,104200,104200,101600,101900,5999
2024-04-18,101000,103400,101000,103100,989
2024-04-19,103100,103100,100000,101800,2137
2024-04-22,101800,107300,101800,107000,3245
2024-04-23,106100,112000,106000,110000,3841
2024-04-24,111500,112400,110600,110800,953
