Date,Open,High,Low,Close,Volume
2024-02-21,9269,9382,9102,9169,38496
2024-02-22,9169,9489,9048,9162,30278
2024-02-23,9235,9462,9162,9342,82903
2024-02-26,9342,9349,8942,9002,87796
2024-02-27,9002,9042,8862,8868,45044
2024-02-28,8782,8928,8742,8828,26286
2024-02-29,8935,8935,8768,8902,24223
2024-03-04,8902,8928,8735,8828,28380
2024-03-05,8735,8788,8668,8768,34464
2024-03-06,8668,8768,8568,8595,36329
2024-03-07,8682,8682,8515,8648,21113
2024-03-08,8688,8688,8542,8655,14550
2024-03-11,8648,8702,8528,8688,15985
2024-03-12,8668,8702,8562,8575,30308
2024-03-13,8528,8702,8522,8622,22032
2024-03-14,8662,8715,8535,8655,14631
2024-03-15,8655,8795,8562,8662,46882
2024-03-18,8642,8828,8588,8602,20090
2024-03-19,8548,8848,8548,8748,35792
2024-03-20,8802,9068,8742,8988,82415
2024-03-21,8935,9135,8908,9068,59851
2024-03-22,9195,9195,8895,9008,31042
2024-03-25,8975,9008,8748,8795,36898
2024-03-26,8802,8895,8735,8882,17551
2024-03-27,8875,8968,8775,8948,29235
2024-03-28,8942,8988,8835,8908,35890
2024-03-29,8815,8902,8735,8748,14487
2024-04-01,8748,8868,8628,8795,44321
2024-04-02,8795,8795,8595,8622,32670
2024-04-03,8595,8762,8535,8702,33678
2024-04-04,8668,8788,8602,8735,26126
2024-04-05,8648,8822,8642,8768,18940
2024-04-08,8835,8835,8622,8655,23741
2024-04-09,8588,8828,8588,8755,40456
2024-04-11,8755,8882,8635,8862,37183
2024-04-12,8862,9055,8782,8988,50487
2024-04-15,8962,8988,8735,8902,37575
2024-04-16,8868,9022,8782,8908,68375
2024-04-17,8995,9195,8928,9108,56675
2024-04-18,9082,9455,9082,9229,126333
2024-04-19,9229,9229,9035,9162,36697
2024-04-22,9149,9315,8968,9282,57369
2024-04-23,9282,9422,9235,9269,51253
2024-04-24,9342,9422,9162,9229,34378
2024-04-25,9402,9402,9082,9269,59248
