날짜,Open,High,Low,Close,Volume
2025-11-17,54000,55000,22850,22850,21446871
2025-11-18,20300,26350,18900,23600,17323668
2025-11-19,23000,27450,22800,25450,11353588
2025-11-20,25950,27600,23900,24650,5128001
2025-11-21,23550,25050,20500,21000,1499476
2025-11-24,21000,22250,19640,21400,1117167
2025-11-25,21900,24500,21700,21800,2767457
2025-11-26,23050,24900,22750,23850,3145461
2025-11-27,23850,24800,22550,22800,1617545
2025-11-28,22700,22750,21500,21600,692537
2025-12-01,21400,22400,20450,20500,834872
2025-12-02,18820,20950,18820,20000,1108200
2025-12-03,19950,20700,19800,20000,691020
2025-12-04,20250,22650,20000,21200,2468294
2025-12-05,21250,21250,20050,20100,593998
2025-12-08,20200,21000,19900,19900,577529
2025-12-09,19880,19880,19140,19270,351041
2025-12-10,19200,19490,18860,18910,280959
2025-12-11,19000,19410,18500,18920,280591
2025-12-12,18920,18950,18100,18110,347746
2025-12-15,18120,18210,17330,17350,292878
2025-12-16,17290,17300,16180,16270,326865
2025-12-17,15500,15500,13960,14200,1757833
2025-12-18,14170,15580,13870,14730,1764477
2025-12-19,14810,17580,14560,15750,2976493
2025-12-22,15880,17970,15750,17350,2491943
