날짜,Open,High,Low,Close,Volume
2025-12-04,44000,44000,42000,44000,3793239
2025-12-05,57200,57200,52400,57200,1548062
2025-12-08,54100,56800,47750,48550,8060417
2025-12-09,47650,52400,47500,50000,3709929
2025-12-10,49800,50700,46100,46600,1848223
2025-12-11,47100,48650,46150,46700,1714470
2025-12-12,47500,59700,46350,55900,10441014
2025-12-15,56500,72600,54800,70500,11408893
2025-12-16,70000,80200,67000,72400,12482920
2025-12-17,71600,79000,66100,67000,6132009
2025-12-18,68100,72600,66300,72500,4037398
2025-12-19,69800,75450,69300,70400,3785790
2025-12-22,69000,71000,66300,67100,1717960
2025-12-23,67100,67800,60900,61500,1859713
