Date,Open,High,Low,Close,Volume
2024-01-15,13620,13700,13620,13650,7964
2024-01-16,13670,13700,13630,13650,9521
2024-01-17,13670,13670,13400,13410,45672
2024-01-18,13490,13510,13340,13360,31414
2024-01-19,13420,13540,13360,13360,24390
2024-01-22,13400,13420,13280,13310,39078
2024-01-23,13320,13350,13270,13310,56037
2024-01-24,13450,13450,13280,13350,26169
2024-01-25,13310,13410,13280,13380,51305
2024-01-26,13300,13500,13300,13380,34334
2024-01-29,13390,13790,13390,13700,74818
2024-01-30,13780,14050,13710,13980,171626
2024-01-31,14000,14020,13830,13980,66360
2024-02-01,13910,14890,13910,14820,334443
2024-02-02,14850,15180,14720,15080,228040
2024-02-05,15060,15200,14680,15040,137636
2024-02-06,15040,15040,14650,14720,53174
2024-02-07,14730,15450,14680,15450,282046
2024-02-08,15450,15480,15190,15320,59804
2024-02-13,15360,15500,15060,15300,96370
2024-02-14,15290,15290,15010,15020,84485
2024-02-15,15020,15050,14700,14710,61908
2024-02-16,14790,15020,14630,15020,58164
2024-02-19,14920,15630,14900,15600,207004
2024-02-20,15610,15630,15260,15540,73112
2024-02-21,15540,15630,15350,15400,28606
2024-02-22,15410,15450,15060,15240,60869
2024-02-23,15360,15560,15150,15530,88376
2024-02-26,15330,15330,14700,15020,136546
2024-02-27,15090,15090,14900,15020,46860
2024-02-28,15020,15550,14910,15300,90605
2024-02-29,15200,15280,14970,15000,97988
2024-03-04,15010,15240,14990,15150,42432
2024-03-05,15140,15230,15000,15060,36716
2024-03-06,15070,15260,14970,15050,52029
2024-03-07,15010,15210,14970,15210,37631
2024-03-08,15270,15270,15160,15240,37787
2024-03-11,15230,15230,15000,15040,24440
2024-03-12,15070,15150,14860,14920,46949
2024-03-13,15000,15000,14850,14930,20732
2024-03-14,14930,15050,14730,15040,28535
2024-03-15,15040,15090,14850,14940,72309
2024-03-18,14990,15160,14940,15100,43230
2024-03-19,15020,15150,15020,15090,17587
2024-03-20,15100,15140,15040,15100,30865
2024-03-21,15110,15250,15050,15180,39987
2024-03-22,15100,15280,15100,15210,39030
2024-03-25,15200,15240,15070,15190,36809
2024-03-26,15190,15340,15070,15330,40734
2024-03-27,15300,15300,15140,15200,17654
2024-03-28,15200,15210,15010,15170,39787
2024-03-29,15240,15240,14930,14950,37565
2024-04-01,14980,15030,14840,14840,37626
2024-04-02,14880,14880,14630,14650,54456
2024-04-03,14600,16050,14520,15050,325566
2024-04-04,15050,15320,15050,15090,122819
2024-04-05,15170,15170,14870,14890,46733
2024-04-08,14890,15030,14850,15000,30839
2024-04-09,15050,15080,14900,14920,33994
2024-04-11,14990,14990,14760,14860,54417
2024-04-12,14810,14920,14780,14810,25375
2024-04-15,14790,15010,14780,14990,25413
2024-04-16,14900,14900,14740,14750,87717
2024-04-17,14770,14820,14750,14750,47474
2024-04-18,14750,14990,14710,14760,57852
2024-04-19,14760,14770,14670,14720,31044
2024-04-22,14760,14950,14730,14800,14095
2024-04-23,14900,14900,14770,14800,10563
2024-04-24,14850,14850,14770,14790,14738
2024-04-25,14830,14960,14790,14880,20661
2024-04-26,14970,14970,14820,14930,17383
2024-04-29,14900,15050,14850,15000,33311
2024-04-30,15000,15010,14830,14850,31426
2024-05-02,14960,14960,14770,14810,36068
2024-05-03,14780,14980,14750,14760,30977
2024-05-07,14760,14910,14750,14770,31985
2024-05-08,14770,14900,14760,14780,24690
2024-05-09,14880,14880,14720,14750,13690
2024-05-10,14750,14990,14730,14950,56938
2024-05-13,14900,14990,14830,14940,33776
