날짜,Open,High,Low,Close,Volume
2024-01-02,51700,51700,51100,51100,1048
2024-01-03,51200,51700,51100,51300,516
2024-01-04,51300,51300,50200,50500,1835
2024-01-05,51000,51000,50500,50700,378
2024-01-08,50700,50700,50000,50000,1227
2024-01-09,50500,50600,50100,50500,757
2024-01-10,50500,51000,50500,50700,685
2024-01-11,50700,51400,50700,51100,727
2024-01-12,51000,51100,50000,50400,2239
2024-01-15,50400,50600,50000,50000,928
2024-01-16,50500,50500,49500,49900,874
2024-01-17,50100,50100,49200,49250,2236
2024-01-18,49500,49700,48750,48850,1859
2024-01-19,49200,49200,48750,48950,381
2024-01-22,48950,48950,48500,48750,2190
2024-01-23,48750,49400,48500,48850,3327
2024-01-24,48850,49100,48750,48750,247
2024-01-25,48750,49050,48400,48600,4972
2024-01-26,48750,48750,48400,48500,350
2024-01-29,48750,48850,48350,48650,845
2024-01-30,48900,49700,48850,49350,1125
2024-01-31,49500,49900,48800,49900,2810
2024-02-01,49700,52000,49200,51500,5221
2024-02-02,51800,53000,51100,52000,2009
2024-02-05,52200,52500,51300,52400,1658
2024-02-06,52500,52800,51900,52300,1100
2024-02-07,52900,55500,52100,55000,14000
2024-02-08,55000,55700,54400,55200,7154
2024-02-13,55700,55700,53500,54600,2226
2024-02-14,54600,54800,54200,54200,3135
2024-02-15,54600,54700,53500,53800,2467
2024-02-16,53900,54500,53500,54200,1173
2024-02-19,54300,56200,54300,55900,5410
2024-02-20,55900,56100,54700,55100,1477
2024-02-21,55100,55700,54600,55300,2375
2024-02-22,55300,55500,54700,55000,1664
2024-02-23,55000,55400,54900,55000,2424
2024-02-26,55000,55000,53300,53800,2985
2024-02-27,53800,53800,53200,53300,2547
2024-02-28,53700,54600,53300,54200,5834
2024-02-29,54400,54900,54000,54900,1850
2024-03-04,55000,56300,55000,55700,5357
2024-03-05,55800,56900,55700,55800,3433
2024-03-06,55800,56100,55300,55800,1465
2024-03-07,55600,56300,55100,55900,5059
2024-03-08,55900,57000,55000,56600,9321
2024-03-11,56500,56900,56500,56700,2742
2024-03-12,56600,56900,56100,56400,952
2024-03-13,56400,57000,56200,56900,1159
2024-03-14,56900,57500,56500,57500,2147
2024-03-15,57900,60000,57700,59800,17388
2024-03-18,60000,61300,59700,60800,6664
2024-03-19,60800,60800,58900,59600,8676
2024-03-20,59600,61400,58200,58700,5658
2024-03-21,59900,61600,58200,61100,19391
2024-03-22,61600,63200,61200,61800,16337
2024-03-25,62700,62700,60000,60800,8235
2024-03-26,61500,61500,60400,61000,2802
2024-03-27,61000,61500,60800,61300,2046
2024-03-28,61200,62400,60900,62000,7448
2024-03-29,62100,64200,62100,63500,13109
2024-04-01,63400,64000,62200,62800,17298
2024-04-02,62000,63600,62000,62400,7222
2024-04-03,61900,63000,61100,63000,11477
2024-04-04,61000,62600,59500,62200,16811
2024-04-05,61800,62200,60800,60900,5902
2024-04-08,61000,61800,59700,59900,2634
2024-04-09,60000,60100,59100,59300,3408
2024-04-11,59000,59000,57900,58900,2602
2024-04-12,58900,58900,57400,57600,3804
2024-04-15,57600,57900,56600,57900,2099
2024-04-16,58200,58200,56500,56800,2761
2024-04-17,57300,57300,55900,56900,2289
2024-04-18,57100,58100,57100,58000,826
2024-04-19,58400,58400,57000,57200,1398
2024-04-22,57900,59100,57300,58700,2096
2024-04-23,58600,59300,58500,59100,2057
2024-04-24,59000,59700,59000,59300,1675
2024-04-25,59300,59500,58700,59000,830
2024-04-26,59500,59600,59000,59300,1320
2024-04-29,59500,61700,59500,60800,4964
2024-04-30,61800,61800,60200,60500,3443
2024-05-02,60000,61000,60000,60300,1248
2024-05-03,60300,60500,59700,59900,2019
2024-05-07,60500,61000,60100,60500,4328
2024-05-08,60500,62200,60400,60900,5052
2024-05-09,61000,61000,60400,60900,912
2024-05-10,61000,64000,61000,63600,18131
2024-05-13,63600,66200,63100,66200,11754
2024-05-14,66200,66400,64400,65600,6828
2024-05-16,66000,66800,64700,66800,7958
2024-05-17,66400,66500,63500,64300,4695
2024-05-20,64400,64700,63000,64200,3782
2024-05-21,64300,64300,62600,63100,1455
2024-05-22,64600,64600,63500,64400,4375
2024-05-23,64400,65000,63400,64100,2626
2024-05-24,64100,64600,63000,64500,1580
2024-05-27,64900,66300,64700,64700,3243
2024-05-28,64700,64700,63000,63600,1661
2024-05-29,63600,63600,62100,63100,3448
2024-05-30,62700,65400,61900,63000,2432
2024-05-31,63000,64000,62500,63300,1452
2024-06-03,63500,63500,60500,63000,4711
2024-06-04,63000,63000,60500,60900,4271
2024-06-05,61800,61800,59800,60700,2835
2024-06-07,61100,61800,60700,61700,1691
2024-06-10,61700,62800,60900,61900,1517
2024-06-11,62000,62800,61400,61800,1713
2024-06-12,62200,62200,61100,61500,1052
2024-06-13,61900,62100,61200,61500,1273
2024-06-14,61500,64500,60400,62000,6198
2024-06-17,61800,62300,61300,61400,768
2024-06-18,61900,61900,60700,61200,1873
2024-06-19,61500,61500,59900,60300,2013
2024-06-20,61000,61000,59900,60000,1648
2024-06-21,60500,60500,59700,60400,2052
2024-06-24,60700,60700,58400,59500,7006
2024-06-25,60200,60300,59400,59900,1923
2024-06-26,59900,60300,59600,60000,1009
2024-06-27,60400,60500,59700,60000,1215
2024-06-28,60000,60200,59500,60100,1608
2024-07-01,60500,60500,59700,60000,936
2024-07-02,60200,61000,59200,59700,2047
2024-07-03,59700,60200,58800,58900,3312
2024-07-04,59000,59400,56100,56500,8016
2024-07-05,57600,59300,56600,58300,5219
2024-07-08,58000,59300,58000,59300,4125
2024-07-09,59500,60000,59200,60000,3255
2024-07-10,60000,60700,58900,59500,8468
2024-07-11,59600,60500,59000,60300,4375
2024-07-12,60300,60400,58200,58800,10570
2024-07-15,59200,59500,58400,58800,3821
2024-07-16,59200,59200,58400,58700,821
2024-07-17,59100,59100,58300,58900,2590
