symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,rsi_d_2ago,rsi_d_1ago,rsi_d_latest,obv_latest,obv_1ago,signal_obv_latest,signal_obv_1ago,close
NET,US,"Cloudflare, Inc.","[38.28, 40.71, 42.58]","[-3.8253, -4.1218, -4.1595]","[-3.6157, -3.7169, -3.8054]","[139180800.0, 134834000.0, 132958700.0]","[135887156.0, 135374889.0, 135200167.0]",61688159566.55847,464017302.83691406,850581792.1630859,0.01378841252745351,166.31,-0.29,2025-12-22,1,3,Information Technology,38.28,40.71,42.58,139180800.0,134834000.0,135887156.0,135374889.0,195.67999267578125
NRG,US,"NRG Energy, Inc.","[34.78, 41.04, 42.82]","[-2.149, -2.5826, -2.7685]","[-0.7847, -1.1443, -1.4691]","[164505600.0, 160611700.0, 158393500.0]","[162520511.0, 162051233.0, 161832456.0]",29934074944.76294,311319740.00709534,608227168.1167603,0.02031888973482949,23.35,6.69,2025-12-22,0,2,Utilities,34.78,41.04,42.82,164505600.0,160611700.0,162520511.0,162051233.0,156.1999969482422
TECH,US,Bio-Techne Corporation,"[38.18, 38.65, 43.59]","[-0.7322, -0.8796, -0.8917]","[-0.0715, -0.2331, -0.3648]","[-5961800.0, -9065200.0, -10796600.0]","[-7309889.0, -7168200.0, -6451622.0]",9079206158.595394,116951964.56735611,180835119.42062378,0.019917503387608948,118.92,0.49,2025-12-22,0,2,Health Care,38.18,38.65,43.59,-5961800.0,-9065200.0,-7309889.0,-7168200.0,58.27000045776367
FTNT,US,"Fortinet, Inc.","[41.01, 42.32, 44.08]","[-0.2829, -0.4424, -0.5233]","[-0.1066, -0.1737, -0.2436]","[245559800.0, 225444300.0, 217374300.0]","[228167889.0, 227285200.0, 229312567.0]",59670322115.87627,507996396.4115143,1614067677.028656,0.02704975639136372,33.02,2.43,2025-12-22,2,1,Information Technology,41.01,42.32,44.08,245559800.0,225444300.0,228167889.0,227285200.0,80.23999786376953
NBIX,US,"Neurocrine Biosciences, Inc.","[37.72, 38.01, 44.3]","[1.3252, 0.5352, 0.1623]","[2.3276, 1.9691, 1.6077]","[29199400.0, 27215700.0, 25694800.0]","[28087878.0, 27943333.0, 28178311.0]",14457326210.0,157810115.09353638,287636500.0,0.01989555301042073,34.61,4.19,2025-12-22,1,3,Health Care,37.72,38.01,44.3,29199400.0,27215700.0,28087878.0,27943333.0,145.0
CGNX,US,Cognex Corporation,"[39.11, 41.44, 44.93]","[-1.0465, -1.0255, -0.9472]","[-1.0415, -1.0383, -1.0201]","[18555500.0, 14055700.0, 11736000.0]","[14718233.0, 15052944.0, 15887633.0]",6167608075.332836,73853615.4423523,165592636.56692505,0.026848761228718123,56.62,0.65,2025-12-22,2,3,Information Technology,39.11,41.44,44.93,18555500.0,14055700.0,14718233.0,15052944.0,36.79999923706055
INTC,US,Intel Corporation,"[41.83, 42.78, 45.07]","[0.1707, -0.0196, -0.1253]","[0.6863, 0.5451, 0.411]","[1357033300.0, 1194208100.0, 1124739700.0]","[1283865444.0, 1277522822.0, 1299711178.0]",175631398544.31152,3404785648.9562798,5995223814.309692,0.034135262054507336,613.67,0.06,2025-12-22,0,2,Information Technology,41.83,42.78,45.07,1357033300.0,1194208100.0,1283865444.0,1277522822.0,36.81999969482422
Q,US,"Qnity Electronics, Inc.","[38.87, 44.05, 45.25]","[-3.6445, -3.4541, -3.2121]","[-4.6391, -4.4021, -4.1641]","[1844700.0, -4683600.0, -7249300.0]","[-3991056.0, -4676600.0, -4820444.0]",16694215922.569061,198564895.76408386,520305490.0772095,0.031166812055773388,30.54,2.61,2025-12-22,2,2,Information Technology,38.87,44.05,45.25,1844700.0,-4683600.0,-3991056.0,-4676600.0,79.69999694824219
BWXT,US,"BWX Technologies, Inc.","[35.96, 39.81, 47.2]","[-3.7094, -3.8327, -3.4325]","[-3.6217, -3.6639, -3.6176]","[49275800.0, 47611000.0, 46661900.0]","[48696544.0, 48631344.0, 48689833.0]",16130419774.290527,188304983.40316772,293720651.8066406,0.01820911395466517,52.98,3.33,2025-12-22,1,2,Industrials,35.96,39.81,47.2,49275800.0,47611000.0,48696544.0,48631344.0,176.42999267578125
AMD,US,"Advanced Micro Devices, Inc.","[35.27, 37.89, 47.5]","[-5.355, -5.9249, -5.3172]","[-3.8204, -4.2413, -4.4565]","[934393300.0, 876022500.0, 846302400.0]","[887640856.0, 882279933.0, 879966522.0]",347472893958.0676,7674924749.417725,12458079416.479492,0.03585338492038723,112.33,1.9,2025-12-22,2,3,Information Technology,35.27,37.89,47.5,934393300.0,876022500.0,887640856.0,882279933.0,213.42999267578125
CRUS,US,"Cirrus Logic, Inc.","[45.19, 45.22, 48.32]","[0.1632, -0.0177, -0.0683]","[0.1056, 0.0809, 0.0511]","[19891400.0, 18197300.0, 17835400.0]","[18935411.0, 18806122.0, 18907456.0]",6181821292.313522,63391351.79473877,205223272.96600342,0.033197865687443616,17.28,7.01,2025-12-22,0,3,Information Technology,45.19,45.22,48.32,19891400.0,18197300.0,18935411.0,18806122.0,121.13999938964844
MTD,US,Mettler-Toledo International Inc.,"[44.27, 45.39, 48.46]","[-4.824, -5.8548, -5.5515]","[2.7914, 1.0622, -0.2605]","[1322500.0, 881800.0, 747800.0]","[955544.0, 908656.0, 931733.0]",28651098596.446533,239049419.08447266,618086161.3037109,0.02157286078308946,34.97,40.11,2025-12-22,1,2,Health Care,44.27,45.39,48.46,1322500.0,881800.0,955544.0,908656.0,1402.510009765625
AMZN,US,"Amazon.com, Inc.","[39.73, 47.71, 48.49]","[-2.0078, -1.8459, -1.651]","[-1.0389, -1.2003, -1.2905]","[1173843100.0, 1088360400.0, 1038088000.0]","[1101144622.0, 1091758267.0, 1095761011.0]",2430420675348.7505,9716447104.288712,19434492366.74499,0.007996349176858554,32.16,7.07,2025-12-22,0,2,Consumer Discretionary,39.73,47.71,48.49,1173843100.0,1088360400.0,1101144622.0,1091758267.0,227.35000610351562
ECG,US,"Everus Construction Group, Inc.","[41.87, 46.14, 48.55]","[-0.0485, -0.3028, -0.3526]","[0.6551, 0.4635, 0.3003]","[6421200.0, 5372200.0, 5017400.0]","[6014800.0, 5939578.0, 6045544.0]",4541115309.9861145,55395433.51688385,93392468.71948242,0.020565976053087274,25.15,3.54,2025-12-22,1,1,Industrials,41.87,46.14,48.55,6421200.0,5372200.0,6014800.0,5939578.0,89.02999877929688
MSFT,US,Microsoft Corporation,"[40.79, 47.24, 48.72]","[-6.3809, -5.684, -4.9184]","[-6.483, -6.3232, -6.0422]","[492988100.0, 422163200.0, 393589700.0]","[428776367.0, 422753022.0, 422158456.0]",3611541049917.593,13097829140.522003,34415236359.017944,0.009529238594644582,34.61,14.04,2025-12-22,1,2,Information Technology,40.79,47.24,48.72,492988100.0,422163200.0,428776367.0,422753022.0,485.9200134277344
MCK,US,McKesson Corporation,"[43.17, 44.96, 49.09]","[-5.6612, -5.8381, -5.1372]","[-1.4543, -2.3311, -2.8923]","[43026300.0, 41606500.0, 40934900.0]","[41813556.0, 41623367.0, 41700822.0]",101240709662.5,719361486.7526245,1164590950.0,0.01150318833088316,25.64,31.99,2025-12-22,1,2,Health Care,43.17,44.96,49.09,43026300.0,41606500.0,41813556.0,41623367.0,820.25
AWI,US,"Armstrong World Industries, Inc.","[44.8, 48.51, 49.13]","[-1.1469, -1.0115, -0.8755]","[-1.3434, -1.277, -1.1967]","[15607900.0, 14972200.0, 14580200.0]","[15276967.0, 15268156.0, 15292033.0]",8030872990.375946,60816029.44030762,118373701.26800537,0.014739829830438396,26.75,6.96,2025-12-22,1,2,Industrials,44.8,48.51,49.13,15607900.0,14972200.0,15276967.0,15268156.0,186.2100067138672
NVDA,US,NVIDIA Corporation,"[37.16, 41.54, 49.64]","[-2.8842, -3.0493, -2.5975]","[-2.1434, -2.3246, -2.3792]","[13468927000.0, 13144554500.0, 12968458500.0]","[13163020489.0, 13174449367.0, 13199210956.0]",4398962083511.353,36016790524.969406,58708180556.83137,0.013345916478090929,44.8,4.04,2025-12-22,2,1,Information Technology,37.16,41.54,49.64,13468927000.0,13144554500.0,13163020489.0,13174449367.0,180.99000549316406
VMC,US,Vulcan Materials Company,"[41.54, 45.47, 49.85]","[0.4965, 0.1042, 0.0772]","[0.8495, 0.7004, 0.5758]","[32240100.0, 30241600.0, 29016300.0]","[31004656.0, 30874100.0, 30844067.0]",38565046597.179565,289149956.9847107,583302185.2416992,0.015125151833327714,34.5,8.46,2025-12-22,1,1,Materials,41.54,45.47,49.85,32240100.0,30241600.0,31004656.0,30874100.0,291.8699951171875
