symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,rsi_d_2ago,rsi_d_1ago,rsi_d_latest,obv_latest,obv_1ago,signal_obv_latest,signal_obv_1ago,close
AVGO,US,Broadcom Inc.,"[35.16, 36.87, 41.4]","[-1.8374, -4.6311, -5.931]","[6.1471, 3.9915, 2.007]","[1323646400.0, 1164688700.0, 1110186800.0]","[1224368878.0, 1219132011.0, 1228178156.0]",1613739880775.3872,16274341339.387665,54102840443.51807,0.03352637007243209,71.35,4.77,2025-12-19,1,2,35.16,36.87,41.4,1323646400.0,1164688700.0,1224368878.0,1219132011.0,340.3599853515625
NET,US,"Cloudflare, Inc.","[38.28, 40.71, 42.58]","[-3.8253, -4.1218, -4.1595]","[-3.6157, -3.7169, -3.8054]","[142624200.0, 138277400.0, 136402100.0]","[139330556.0, 138818289.0, 138643567.0]",61688159566.55847,464017302.83691406,850581792.1630859,0.01378841252745351,166.31,-0.29,2025-12-19,1,3,38.28,40.71,42.58,142624200.0,138277400.0,139330556.0,138818289.0,195.67999267578125
NRG,US,"NRG Energy, Inc.","[34.78, 41.04, 42.82]","[-2.149, -2.5826, -2.7685]","[-0.7847, -1.1443, -1.4691]","[168275600.0, 164381700.0, 162163500.0]","[166290511.0, 165821233.0, 165602456.0]",29934074944.76294,311319740.00709534,608227168.1167603,0.02031888973482949,23.35,6.69,2025-12-19,0,2,34.78,41.04,42.82,168275600.0,164381700.0,166290511.0,165821233.0,156.1999969482422
TECH,US,Bio-Techne Corporation,"[38.18, 38.65, 43.59]","[-0.7322, -0.8796, -0.8917]","[-0.0715, -0.2331, -0.3648]","[-5013900.0, -8117300.0, -9848700.0]","[-6361989.0, -6220300.0, -5503722.0]",9079206158.595394,116951964.56735611,180835119.42062378,0.019917503387608948,118.92,0.49,2025-12-19,0,2,38.18,38.65,43.59,-5013900.0,-8117300.0,-6361989.0,-6220300.0,58.27000045776367
FTNT,US,"Fortinet, Inc.","[41.01, 42.32, 44.08]","[-0.2829, -0.4424, -0.5233]","[-0.1066, -0.1737, -0.2436]","[261111200.0, 240995700.0, 232925700.0]","[243719289.0, 242836600.0, 244863967.0]",59670322115.87627,507996396.4115143,1614067677.028656,0.02704975639136372,33.02,2.43,2025-12-19,2,1,41.01,42.32,44.08,261111200.0,240995700.0,243719289.0,242836600.0,80.23999786376953
NBIX,US,"Neurocrine Biosciences, Inc.","[37.72, 38.01, 44.3]","[1.3252, 0.5352, 0.1623]","[2.3276, 1.9691, 1.6077]","[32574200.0, 30590500.0, 29069600.0]","[31462678.0, 31318133.0, 31553111.0]",14457326210.0,157810115.09353638,287636500.0,0.01989555301042073,34.61,4.19,2025-12-19,1,3,37.72,38.01,44.3,32574200.0,30590500.0,31462678.0,31318133.0,145.0
CGNX,US,Cognex Corporation,"[39.11, 41.44, 44.93]","[-1.0465, -1.0255, -0.9472]","[-1.0415, -1.0383, -1.0201]","[21291000.0, 16791200.0, 14471500.0]","[17453733.0, 17788444.0, 18623133.0]",6167608075.332836,73853615.4423523,165592636.56692505,0.026848761228718123,56.62,0.65,2025-12-19,2,3,39.11,41.44,44.93,21291000.0,16791200.0,17453733.0,17788444.0,36.79999923706055
INTC,US,Intel Corporation,"[41.83, 42.78, 45.07]","[0.1707, -0.0196, -0.1253]","[0.6863, 0.5451, 0.411]","[1453608600.0, 1290783400.0, 1221315000.0]","[1380440744.0, 1374098122.0, 1396286478.0]",175631398544.31152,3404785648.9562798,5995223814.309692,0.034135262054507336,613.67,0.06,2025-12-19,0,2,41.83,42.78,45.07,1453608600.0,1290783400.0,1380440744.0,1374098122.0,36.81999969482422
Q,US,"Qnity Electronics, Inc.","[38.87, 44.05, 45.25]","[-3.6445, -3.4541, -3.2121]","[-4.6391, -4.4021, -4.1641]","[1844700.0, -4683600.0, -7249300.0]","[-3991056.0, -4676600.0, -4820444.0]",16694215922.569061,198564895.76408386,520305490.0772095,0.031166812055773388,30.54,2.61,2025-12-19,2,2,38.87,44.05,45.25,1844700.0,-4683600.0,-3991056.0,-4676600.0,79.69999694824219
BWXT,US,"BWX Technologies, Inc.","[35.96, 39.81, 47.2]","[-3.7094, -3.8327, -3.4325]","[-3.6217, -3.6639, -3.6176]","[50717800.0, 49053000.0, 48103900.0]","[50138544.0, 50073344.0, 50131833.0]",16130419774.290527,188304983.40316772,293720651.8066406,0.01820911395466517,52.98,3.33,2025-12-19,1,2,35.96,39.81,47.2,50717800.0,49053000.0,50138544.0,50073344.0,176.42999267578125
AMD,US,"Advanced Micro Devices, Inc.","[35.27, 37.89, 47.5]","[-5.355, -5.9249, -5.3172]","[-3.8204, -4.2413, -4.4565]","[1000847800.0, 942477000.0, 912756900.0]","[954095356.0, 948734433.0, 946421022.0]",347472893958.0676,7674924749.417725,12458079416.479492,0.03585338492038723,112.33,1.9,2025-12-19,2,3,35.27,37.89,47.5,1000847800.0,942477000.0,954095356.0,948734433.0,213.42999267578125
CRUS,US,"Cirrus Logic, Inc.","[45.19, 45.22, 48.32]","[0.1632, -0.0177, -0.0683]","[0.1056, 0.0809, 0.0511]","[20520800.0, 18826700.0, 18464800.0]","[19564811.0, 19435522.0, 19536856.0]",6181821292.313522,63391351.79473877,205223272.96600342,0.033197865687443616,17.28,7.01,2025-12-19,0,3,45.19,45.22,48.32,20520800.0,18826700.0,19564811.0,19435522.0,121.13999938964844
MTD,US,Mettler-Toledo International Inc.,"[44.27, 45.39, 48.46]","[-4.824, -5.8548, -5.5515]","[2.7914, 1.0622, -0.2605]","[1642600.0, 1201900.0, 1067900.0]","[1275644.0, 1228756.0, 1251833.0]",28651098596.446533,239049419.08447266,618086161.3037109,0.02157286078308946,34.97,40.11,2025-12-19,1,2,44.27,45.39,48.46,1642600.0,1201900.0,1275644.0,1228756.0,1402.510009765625
AMZN,US,"Amazon.com, Inc.","[39.73, 47.71, 48.49]","[-2.0078, -1.8459, -1.651]","[-1.0389, -1.2003, -1.2905]","[1180822400.0, 1095339700.0, 1045067300.0]","[1108123922.0, 1098737567.0, 1102740311.0]",2430420675348.7505,9716447104.288712,19434492366.74499,0.007996349176858554,32.16,7.07,2025-12-19,0,2,39.73,47.71,48.49,1180822400.0,1095339700.0,1108123922.0,1098737567.0,227.35000610351562
ECG,US,"Everus Construction Group, Inc.","[41.87, 46.14, 48.55]","[-0.0485, -0.3028, -0.3526]","[0.6551, 0.4635, 0.3003]","[6421200.0, 5372200.0, 5017400.0]","[6014800.0, 5939578.0, 6045544.0]",4541115309.9861145,55395433.51688385,93392468.71948242,0.020565976053087274,25.15,3.54,2025-12-19,1,1,41.87,46.14,48.55,6421200.0,5372200.0,6014800.0,5939578.0,89.02999877929688
MSFT,US,Microsoft Corporation,"[40.79, 47.24, 48.72]","[-6.3809, -5.684, -4.9184]","[-6.483, -6.3232, -6.0422]","[554120300.0, 483295400.0, 454721900.0]","[489908567.0, 483885222.0, 483290656.0]",3611541049917.593,13097829140.522003,34415236359.017944,0.009529238594644582,34.61,14.04,2025-12-19,1,2,40.79,47.24,48.72,554120300.0,483295400.0,489908567.0,483885222.0,485.9200134277344
MCK,US,McKesson Corporation,"[43.17, 44.96, 49.09]","[-5.6612, -5.8381, -5.1372]","[-1.4543, -2.3311, -2.8923]","[44827500.0, 43407700.0, 42736100.0]","[43614756.0, 43424567.0, 43502022.0]",101240709662.5,719361486.7526245,1164590950.0,0.01150318833088316,25.64,31.99,2025-12-19,1,2,43.17,44.96,49.09,44827500.0,43407700.0,43614756.0,43424567.0,820.25
AWI,US,"Armstrong World Industries, Inc.","[44.8, 48.51, 49.13]","[-1.1469, -1.0115, -0.8755]","[-1.3434, -1.277, -1.1967]","[16169000.0, 15533300.0, 15141300.0]","[15838067.0, 15829256.0, 15853133.0]",8030872990.375946,60816029.44030762,118373701.26800537,0.014739829830438396,26.75,6.96,2025-12-19,1,2,44.8,48.51,49.13,16169000.0,15533300.0,15838067.0,15829256.0,186.2100067138672
NVDA,US,NVIDIA Corporation,"[37.16, 41.54, 49.64]","[-2.8842, -3.0493, -2.5975]","[-2.1434, -2.3246, -2.3792]","[13914739000.0, 13590366500.0, 13414270500.0]","[13608832489.0, 13620261367.0, 13645022956.0]",4398962083511.353,36016790524.969406,58708180556.83137,0.013345916478090929,44.8,4.04,2025-12-19,2,1,37.16,41.54,49.64,13914739000.0,13590366500.0,13608832489.0,13620261367.0,180.99000549316406
VMC,US,Vulcan Materials Company,"[41.54, 45.47, 49.85]","[0.4965, 0.1042, 0.0772]","[0.8495, 0.7004, 0.5758]","[33865600.0, 31867100.0, 30641800.0]","[32630156.0, 32499600.0, 32469567.0]",38565046597.179565,289149956.9847107,583302185.2416992,0.015125151833327714,34.5,8.46,2025-12-19,1,1,41.54,45.47,49.85,33865600.0,31867100.0,32630156.0,32499600.0,291.8699951171875
