symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
041830,KOSDAQ,인바디,"[60.57, 59.3, 71.55]","[272.2648, 718.3181, 2120.5728]","[381.0261, 448.4845, 782.9021]","[577043.0, -77536.0, 22299.0]","[7089.0, -52826.0, -33131.0]","[120008.0, 102792.0, 126809.0, 153447.0]",9437.0,6819198452.5,45820530000.0,0.04855412737098654,23.61,2965.0,2026-08-06,4,1,Health Care,하락(-4.11%) TIGER 헬스케어,"[52472.5, 51682.5, 51647.5]","[49714.0, 49234.0, 49047.0]","[36027.25, 35827.25, 35699.0]",1,"[70000, 56700, 57400]",70000.0
253450,KOSDAQ,스튜디오드래곤,"[57.03, 52.75, 63.26]","[-360.3112, -262.194, 1.1421]","[-750.8302, -653.103, -522.254]","[2971635.0, 2817116.0, 2891727.0]","[2848715.0, 2832573.0, 2837304.0]","[2889559.0, 2901841.0, 2924939.0, 2940481.0]",7364.0,1552913474.5,3785715500.0,0.005140841254752852,50.72,483.0,2026-08-06,2,1,Consumer Discretionary,하락(-9.33%) TIGER 200 경기소비재,"[21168.0, 21055.5, 21100.5]","[22591.4, 22652.4, 22767.4]","[35700.35, 35793.1, 35899.85]",1,"[24500, 22200, 22850]",24500.0
036560,KOSDAQ,KZ정밀,"[47.43, 49.48, 59.8]","[-78.5101, -67.4612, -14.1613]","[-111.4005, -102.6127, -84.9224]","[20349836.0, 20277564.0, 20266422.0]","[20285667.0, 20278481.0, 20278071.0]","[20278912.0, 20274996.0, 20274315.0, 20274499.0]",1926.0,119317419.0,883886560.0,0.004589234475597092,12.69,964.0,2026-08-06,0,2,Industrials,하락(-0.47%) KODEX 산업재,"[11627.5, 11589.5, 11578.0]","[11826.2, 11846.6, 11881.0]","[13744.95, 13769.55, 13788.45]",1,"[12230, 11680, 11590]",12230.0
001540,KOSDAQ,안국약품,"[53.56, 53.42, 67.08]","[-3.6169, 18.1685, 157.8788]","[106.1966, 88.591, 102.4486]","[14086770.0, 13673662.0, 13756623.0]","[13714766.0, 13684945.0, 13705799.0]","[13756551.0, 13716790.0, 13702686.0, 13680937.0]",1638.0,1246382109.5,5188636480.0,0.03167665738705739,10.07,1247.0,2026-08-06,4,0,Health Care,하락(-4.11%) TIGER 헬스케어,"[11161.0, 11046.0, 11016.5]","[10808.4, 10764.4, 10758.6]","[8954.75, 8929.95, 8912.8]",1,"[12560, 11020, 11030]",12560.0
049960,KOSDAQ,쎌바이오텍,"[59.52, 56.65, 67.13]","[-89.157, -43.8274, 60.7907]","[-173.1916, -147.3188, -105.6969]","[1057890.0, 1022510.0, 1033018.0]","[1031311.0, 1031413.0, 1035642.0]","[1037536.0, 1034565.0, 1033757.0, 1031898.0]",1561.0,189267475.5,587661800.0,0.0037646495836002563,11.65,1426.0,2026-08-06,4,0,Health Care,하락(-4.11%) TIGER 헬스케어,"[15317.0, 15239.5, 15218.0]","[15741.0, 15771.0, 15817.6]","[14402.6, 14381.05, 14363.4]",1,"[16610, 15750, 15890]",16610.0
137950,KOSDAQ,제이씨케미칼,"[42.24, 47.1, 56.87]","[-60.8064, -56.4591, -32.4667]","[-41.1909, -44.2445, -41.889]","[20805820.0, 19479303.0, 19424128.0]","[19749848.0, 19666487.0, 19740629.0]","[19743003.0, 19669052.0, 19667861.0, 19665055.0]",678.0,491089971.25,4039244265.0,0.059575874115044246,0.0,-15.0,2026-08-06,2,1,Energy,상승(+1.69%) KODEX 에너지화학,"[2867.75, 2846.25, 2838.75]","[2893.5, 2905.8, 2925.6]","[3495.22, 3497.0, 3499.6]",0,"[3045, 2795, 2695]",3045.0
043910,KOSDAQ,자연과환경,"[42.51, 40.96, 54.13]","[-88.8862, -88.3694, -66.6155]","[-84.0136, -84.8847, -81.2309]","[62592198.0, 62422422.0, 62452103.0]","[62461896.0, 62449522.0, 62454891.0]","[62469735.0, 62466558.0, 62476570.0, 62481608.0]",359.0,111044278.75,538189920.0,0.014991362674094708,0.0,-559.0,2026-08-06,1,1,Industrials,하락(-0.47%) KODEX 산업재,"[3046.75, 3044.25, 3058.75]","[3096.4, 3106.2, 3121.4]","[5019.92, 5037.23, 5056.2]",0,"[3170, 2915, 2950]",3170.0
336060,KOSDAQ,웨이버스,"[40.77, 40.77, 46.93]","[-55.3302, -50.9335, -44.1164]","[-84.8607, -78.0752, -71.2835]","[24711700.0, 24648434.0, 24648434.0]","[24655464.0, 24648434.0, 24648434.0]","[24649966.0, 24645829.0, 24646517.0, 24647994.0]",287.0,16105205.5,188849010.0,0.00658010487804878,15.96,187.0,2026-08-06,0,0,Information Technology,하락(-26.31%) TIGER 200 IT,"[2944.75, 2938.5, 2934.75]","[3092.7, 3115.2, 3142.6]","[4554.85, 4567.12, 4579.77]",1,"[2985, 2950, 2950]",2985.0
002820,KOSPI,SUN&L,"[53.67, 53.67, 58.77]","[28.2486, 26.8261, 30.1922]","[42.9382, 39.7158, 37.811]","[1096494.0, 919148.0, 919148.0]","[937299.0, 921183.0, 924420.0]","[923554.0, 911659.0, 909731.0, 905563.0]",275.0,51162520.5,404348880.0,0.014703595636363637,0.0,-298.0,2026-08-06,1,1,Materials,상승(+4.50%) KODEX 소재산업,"[2240.0, 2236.0, 2239.75]","[2095.84, 2095.44, 2096.54]","[2345.01, 2346.56, 2348.46]",0,"[2280, 2220, 2220]",2280.0
239340,KOSDAQ,이스트에이드,"[58.04, 54.41, 66.26]","[-25.5076, -16.6696, 7.5159]","[-41.6712, -36.6709, -27.8335]","[130572962.0, 127951999.0, 129374526.0]","[129168091.0, 129031098.0, 129185322.0]","[128719303.0, 128588630.0, 128591541.0, 128525540.0]",250.0,274160544.3,2432253664.0,0.09729014656,0.0,-239.0,2026-08-06,3,2,Financials,하락(-4.01%) TIGER 200 금융,"[643.1, 626.95, 621.6]","[715.18, 720.62, 729.24]","[1365.6, 1371.01, 1377.74]",1,"[928, 714, 755]",928.0
039310,KOSDAQ,세중,"[45.2, 51.7, 62.86]","[-3.7223, -1.8727, 9.1704]","[-3.8867, -3.4839, -0.953]","[-780003.0, -2743740.0, -2847152.0]","[-2519568.0, -2726285.0, -2721453.0]","[-2609510.0, -2714820.0, -2720851.0, -2719434.0]",221.0,185531564.35,2399686614.0,0.10858310470588235,0.0,-161.0,2026-08-06,2,1,Information Technology,하락(-26.31%) TIGER 200 IT,"[1094.5, 1084.95, 1081.45]","[1075.36, 1077.72, 1084.06]","[1387.29, 1388.44, 1390.26]",1,"[1222, 1102, 1051]",1222.0
