Date,Open,High,Low,Close,Volume
2024-04-17,5026,5086,4990,4995,22446
2024-04-18,4925,5051,4925,4995,17113
2024-04-19,4995,4995,4759,4764,31555
2024-04-22,4784,4910,4774,4910,20111
2024-04-23,4875,5031,4875,4960,16215
2024-04-24,5036,5051,4904,4935,23903
2024-04-25,5011,5011,4794,4899,57174
2024-04-26,4899,5716,4769,4850,1437395
2024-04-29,4834,4885,4689,4809,123565
2024-04-30,4920,5384,4794,4804,908696
2024-05-02,4789,5267,4723,4935,241771
2024-05-03,4986,5248,4870,5111,211767
2024-05-07,5177,5202,4981,5001,66248
2024-05-08,5001,5223,4935,5192,86496
2024-05-09,5177,5207,5036,5067,44199
2024-05-10,5081,5126,5026,5101,40240
2024-05-13,5116,5238,4995,5036,50657
2024-05-14,5151,5157,5016,5137,43851
2024-05-16,5137,5137,4981,5106,35691
2024-05-17,5106,5132,4950,5001,92645
2024-05-20,5036,5368,5001,5056,249619
2024-05-21,5137,5167,4981,5146,109582
2024-05-22,5137,5137,4990,5096,114727
2024-05-23,5061,5086,5001,5081,41989
2024-05-24,5021,5031,4945,5021,41238
2024-05-27,5001,5006,4879,4935,52600
2024-05-28,5031,5031,4930,4940,29936
2024-05-29,5031,5272,5026,5228,254561
2024-05-30,5262,5262,5061,5076,72167
2024-05-31,5076,5167,5036,5101,49263
2024-06-03,5111,5233,5046,5051,69554
2024-06-04,5061,5257,5046,5101,110860
2024-06-05,5086,5126,5051,5111,34405
2024-06-07,5116,5192,5026,5132,64221
2024-06-10,5132,5132,4995,5021,62088
2024-06-11,5036,5106,4889,4915,138154
2024-06-12,4910,4970,4729,4814,169729
2024-06-13,4814,4870,4769,4794,41616
2024-06-14,4794,4814,4698,4784,57433
2024-06-17,4779,4825,4729,4738,19738
2024-06-18,4738,4814,4708,4814,25267
2024-06-19,4814,4850,4708,4759,55935
2024-06-20,4738,4820,4703,4738,20495
2024-06-21,4708,4743,4557,4562,68390
2024-06-24,4547,4693,4526,4526,57962
2024-06-25,4487,4562,4477,4522,24308
2024-06-26,4582,4759,4582,4613,70964
2024-06-27,4613,4743,4582,4713,51899
2024-06-28,4713,4733,4689,4693,22076
2024-07-01,4658,4759,4638,4683,41905
2024-07-02,4628,4683,4537,4552,46857
2024-07-03,4552,4713,4457,4502,57040
2024-07-04,4502,4689,4502,4669,74260
2024-07-05,4669,4669,4573,4618,28576
2024-07-08,4618,4618,4517,4517,33882
2024-07-09,4547,4689,4537,4537,11127
2024-07-10,4587,4623,4537,4552,17853
2024-07-11,4552,4784,4532,4537,25828
2024-07-12,4577,4577,4522,4573,10630
2024-07-15,4532,4628,4512,4557,20975
2024-07-16,4562,4582,4517,4552,15783
2024-07-17,4532,4582,4507,4522,32069
2024-07-18,4512,4547,4401,4517,40857
2024-07-19,4492,4573,4436,4552,41466
2024-07-22,4522,4567,4386,4406,47462
2024-07-23,4401,4482,4391,4422,13231
2024-07-24,4452,4532,4406,4512,43069
2024-07-25,4457,4482,4401,4422,28468
2024-07-26,4436,4482,4422,4436,7545
2024-07-29,4436,4526,4431,4502,12653
2024-07-30,4502,4748,4386,4638,224119
2024-07-31,4638,5067,4638,4925,377836
2024-08-01,4889,4981,4789,4850,100270
2024-08-02,4784,4789,4633,4689,68386
2024-08-05,4587,4638,4129,4306,158832
2024-08-06,4306,4603,4306,4573,77856
2024-08-07,4497,4698,4497,4683,39109
2024-08-08,4683,4683,4522,4567,32394
2024-08-09,4623,4935,4618,4885,71729
2024-08-12,4915,5404,4904,5358,386179
2024-08-13,5333,5394,5036,5132,154266
2024-08-14,5137,5162,4935,5076,152036
2024-08-16,5081,5146,4970,5126,81200
2024-08-19,5126,5338,4976,5293,184640
2024-08-20,5302,5353,5137,5146,121820
2024-08-21,5146,5187,5067,5086,25565
2024-08-22,5076,5126,4885,5016,53623
2024-08-23,5016,5081,4930,4986,20634
2024-08-26,4986,5081,4945,4945,37417
2024-08-27,4945,5021,4875,4935,23239
2024-08-28,4976,5081,4976,4995,19249
2024-08-29,4940,5006,4915,4945,21220
2024-08-30,4945,5207,4945,5202,66330
