Date,Open,High,Low,Close,Volume
2024-04-22,10410,10650,10400,10480,17841
2024-04-23,10480,10740,10440,10560,9725
2024-04-24,10750,10750,10450,10610,1949
2024-04-25,10470,10790,10470,10620,7335
2024-04-26,10710,10710,10500,10660,8603
2024-04-29,10540,10710,10540,10660,4388
2024-04-30,10780,10780,10600,10680,3843
2024-05-02,10750,10800,10670,10720,10786
2024-05-03,10720,10830,10700,10780,7686
2024-05-07,10780,10850,10670,10720,10817
2024-05-08,10820,10820,10630,10710,9689
2024-05-09,10620,10760,10610,10700,7910
2024-05-10,10790,10790,10690,10700,6917
2024-05-13,10750,10930,10740,10860,31658
2024-05-14,10860,10960,10850,10960,11804
2024-05-16,10910,11010,10840,10910,18669
2024-05-17,10900,10910,10640,10710,22315
2024-05-20,10810,10810,10570,10690,12833
2024-05-21,10590,10740,10550,10580,7323
2024-05-22,10700,10700,10560,10670,4816
2024-05-23,10690,10730,10500,10610,15237
2024-05-24,10620,10640,10530,10550,12939
2024-05-27,10680,10680,10420,10510,22793
2024-05-28,10420,10710,10420,10610,5144
2024-05-29,10590,10640,10480,10530,9639
2024-05-30,10500,10540,10450,10460,16714
2024-05-31,10450,10540,10420,10460,3968
2024-06-03,10500,10730,10460,10660,12849
2024-06-04,10630,10750,10570,10580,8872
2024-06-05,10570,10700,10510,10570,6630
2024-06-07,10540,10730,10500,10590,9381
2024-06-10,10600,10650,10500,10640,6706
2024-06-11,10640,10740,10520,10610,9872
2024-06-12,10610,10670,10550,10590,4990
2024-06-13,10600,10650,10470,10480,14520
2024-06-14,10500,10600,10330,10490,21687
2024-06-17,10600,10600,10400,10490,5514
2024-06-18,10390,10520,10380,10450,9079
2024-06-19,10490,10490,10340,10410,9266
2024-06-20,10350,10480,10350,10440,3669
2024-06-21,10440,10440,10310,10390,14787
2024-06-24,10480,10480,10040,10130,19708
2024-06-25,10130,10200,10060,10150,7426
2024-06-26,10190,10220,10060,10120,8451
2024-06-27,10120,10190,9950,10030,15956
2024-06-28,10000,10070,9950,10000,22853
2024-07-01,10010,10060,9850,9890,23196
2024-07-02,9890,9940,9730,9870,29967
2024-07-03,9870,9870,9660,9770,15868
2024-07-04,9770,9890,9710,9790,9179
2024-07-05,9790,9900,9650,9830,13086
2024-07-08,9760,9880,9720,9840,8615
2024-07-09,9900,9900,9780,9840,6960
2024-07-10,9850,9850,9700,9820,4580
2024-07-11,9850,9880,9800,9860,4179
2024-07-12,9780,9900,9770,9840,13732
2024-07-15,9840,9840,9680,9770,13044
2024-07-16,9830,9830,9770,9800,7894
2024-07-17,9920,9920,9650,9700,27585
2024-07-18,9710,10950,9650,10120,248644
2024-07-19,10220,10340,10070,10340,36559
2024-07-22,10340,10420,10220,10340,31768
2024-07-23,10410,10460,10050,10050,61126
2024-07-24,10030,10220,10030,10100,12446
2024-07-25,10100,10100,9950,10010,15483
2024-07-26,9960,10230,9960,10180,15040
2024-07-29,10190,10520,10190,10520,33183
2024-07-30,10490,10540,10340,10410,9884
2024-07-31,10410,10420,10300,10350,11645
2024-08-01,10470,10470,10210,10370,21083
2024-08-02,10440,10480,10180,10270,35010
2024-08-05,10260,10260,9100,9330,96275
2024-08-06,9390,9800,9390,9750,43663
2024-08-07,9750,10150,9750,10110,24815
2024-08-08,10110,10190,9960,10170,25460
2024-08-09,10170,10240,10070,10150,28289
2024-08-12,10220,10240,10090,10160,23816
2024-08-13,10210,10230,10090,10210,27502
2024-08-14,10210,10350,10160,10330,23382
2024-08-16,10340,10410,10270,10330,29760
2024-08-19,10400,10450,10320,10400,16950
2024-08-20,10450,10450,10330,10410,26471
2024-08-21,10450,10630,10390,10620,24327
2024-08-22,10620,10700,10540,10670,25171
2024-08-23,10670,10810,10540,10780,39543
2024-08-26,10800,10890,10500,10520,36887
2024-08-27,10530,10660,10450,10660,20641
2024-08-28,10660,10750,10500,10630,22430
2024-08-29,10570,10730,10350,10670,11029
2024-08-30,10670,10770,10550,10690,30380
2024-09-02,10700,10710,10560,10700,11417
2024-09-03,10700,10750,10540,10640,13905
2024-09-04,10540,10540,10180,10300,31021
2024-09-05,10260,10450,10260,10350,14602
2024-09-06,10350,10390,10100,10190,8918
2024-09-09,10120,10340,10090,10320,13111
2024-09-10,10320,10400,10240,10340,10073
2024-09-11,10390,10430,9700,10260,10887
2024-09-12,10280,10400,10110,10380,13084
2024-09-13,10380,10520,10270,10410,21550
2024-09-19,10490,10490,10130,10360,27673
2024-09-20,10340,10360,10090,10230,34879
2024-09-23,10180,10380,10090,10330,31207
2024-09-24,10340,10350,10190,10320,49529
2024-09-25,10340,10400,10240,10350,24967
2024-09-26,10350,10510,10330,10460,18515
2024-09-27,10460,10690,10410,10640,26818
2024-09-30,10600,10690,10490,10510,27510
2024-10-02,10650,10650,10320,10550,20763
2024-10-04,10550,10610,10400,10590,20686
2024-10-07,10560,10900,10560,10840,57775
2024-10-08,10730,10980,10700,10830,43896
2024-10-10,10890,10890,10600,10730,26082
2024-10-11,10850,10950,10680,10900,27236
2024-10-14,11040,11040,10790,10880,28328
2024-10-15,10900,10980,10830,10870,36350
2024-10-16,10810,10890,10810,10860,20660
