Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-19 00:00:00-04:00,166.3468017307893,167.97114544573068,166.3468017307893,167.71910095214844,7625600,0.0,0.0
2024-03-20 00:00:00-04:00,167.3083570104992,167.31768724432615,164.05031058129606,164.55442810058594,7326600,0.0,0.0
2024-03-21 00:00:00-04:00,165.05849461236468,165.92669048237968,164.19031298697834,165.70263671875,5743600,0.0,0.0
2024-03-22 00:00:00-04:00,165.4505929170434,167.0936255090551,165.03050453645128,166.58950805664062,4084400,0.0,0.0
2024-03-25 00:00:00-04:00,167.10296293839855,167.28966731063264,166.29079108463333,166.66419982910156,4366400,0.0,0.0
2024-03-26 00:00:00-04:00,167.31766964866947,167.82178711494475,166.5241725178736,167.28033447265625,4392400,0.0,0.0
2024-03-27 00:00:00-04:00,167.84977257532003,168.57792950241597,166.92556682417737,168.36322021484375,5073500,0.0,0.0
2024-03-28 00:00:00-04:00,168.97003755455162,170.18363735828947,168.31656512011762,169.99693298339844,5418700,0.0,0.0
2024-04-01 00:00:00-04:00,169.79154174457457,169.8102022094865,167.3270071363753,168.7459716796875,3502100,0.0,0.0
2024-04-02 00:00:00-04:00,167.46704896279874,168.99804767521115,166.64553259455707,168.68064880371094,4523800,0.0,0.0
2024-04-03 00:00:00-04:00,168.7086318730067,169.5301481347267,164.86246800155283,165.5439453125,5893000,0.0,0.0
2024-04-04 00:00:00-04:00,165.84266833823176,165.889347988181,156.32060377838727,156.74069213867188,10539000,0.0,0.0
2024-04-05 00:00:00-04:00,156.8340389476103,159.6719819561688,156.17122215823107,158.70111083984375,7030100,0.0,0.0
2024-04-08 00:00:00-04:00,157.96363672080042,160.54019101623564,157.20746057667546,158.51441955566406,4745000,0.0,0.0
2024-04-09 00:00:00-04:00,158.4490948846719,159.2146014043906,156.2739538341596,158.83184814453125,5933200,0.0,0.0
2024-04-10 00:00:00-04:00,157.38485035039824,158.663804515445,156.23660491641422,157.7956085205078,3231700,0.0,0.0
2024-04-11 00:00:00-04:00,157.95430487599054,158.11300430323794,156.11523762402007,156.38597106933594,3307000,0.0,0.0
2024-04-12 00:00:00-04:00,154.95373267408038,154.95373267408038,150.76070348396482,152.90904235839844,7029400,1.55,0.0
2024-04-15 00:00:00-04:00,155.0196896816619,155.18928856337826,152.17407751902866,152.33425903320312,5433700,0.0,0.0
2024-04-16 00:00:00-04:00,152.81481006130733,154.2847389868693,152.7205932489086,153.15402221679688,4881300,0.0,0.0
2024-04-17 00:00:00-04:00,154.6710581130758,155.22699915084993,153.80418576739297,154.76528930664062,4792200,0.0,0.0
2024-04-18 00:00:00-04:00,155.4343058072837,157.7710928988585,154.93489770395533,155.15162658691406,4480100,0.0,0.0
2024-04-19 00:00:00-04:00,155.49083450693865,156.97959827419413,153.82304009244217,156.80056762695312,5532400,0.0,0.0
2024-04-22 00:00:00-04:00,157.9972038767776,159.79691315152206,157.2810957405257,158.19508361816406,5580700,0.0,0.0
2024-04-23 00:00:00-04:00,158.85466284816349,160.5318744983057,158.50603332759283,159.7498016357422,4084100,0.0,0.0
2024-04-24 00:00:00-04:00,158.78869951842762,159.3446261077886,157.11148800559164,158.1102752685547,4074700,0.0,0.0
2024-04-25 00:00:00-04:00,157.9783741249396,159.51423900039728,156.00906590487983,157.62973022460938,5503700,0.0,0.0
2024-04-26 00:00:00-04:00,157.44125878832207,157.7899026367586,148.54637639013026,150.40261840820312,10721700,0.0,0.0
2024-04-29 00:00:00-04:00,150.37438876787007,152.22121387183634,149.4038678052623,152.1929473876953,6219000,0.0,0.0
2024-04-30 00:00:00-04:00,151.9573765249302,153.63458826644265,150.46861279459617,153.24826049804688,5484800,0.0,0.0
2024-05-01 00:00:00-04:00,152.72999239688033,154.23760499201848,151.83485370874297,152.38136291503906,5176400,0.0,0.0
2024-05-02 00:00:00-04:00,152.80537693575602,153.05978962055286,148.98924417444158,151.52391052246094,5904300,0.0,0.0
2024-05-03 00:00:00-04:00,151.85369872071144,154.7652609090937,151.45795366014426,154.33181762695312,5849900,0.0,0.0
2024-05-06 00:00:00-04:00,154.91606386430567,155.12336100193434,151.70297260872414,153.33306884765625,5834600,0.0,0.0
2024-05-07 00:00:00-04:00,153.92667589483463,154.52030075432606,152.54156080779512,153.1634521484375,5301700,0.0,0.0
2024-05-08 00:00:00-04:00,152.77711979415534,153.49322792448007,150.63819839306674,151.18470764160156,5906700,0.0,0.0
2024-05-09 00:00:00-04:00,151.52391622619936,152.00447513531165,150.77954163304864,151.13758850097656,3570000,0.0,0.0
2024-05-10 00:00:00-04:00,151.42970811864896,152.11754979204218,151.0904959658853,151.46739196777344,3509500,0.0,0.0
2024-05-13 00:00:00-04:00,151.96678161621094,153.1822977887864,151.51450355038912,151.96678161621094,3505900,0.0,0.0
2024-05-14 00:00:00-04:00,152.31539831270914,152.8807566306659,150.49685445714624,152.2588653564453,4025000,0.0,0.0
2024-05-15 00:00:00-04:00,152.9372853595746,154.92544240663338,152.52269118822068,154.33181762695312,5261300,0.0,0.0
