Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-30 00:00:00-05:00,504.9167887956444,514.4500656634749,504.9167887956444,511.7700500488281,242700,0.0,0.0
2024-01-31 00:00:00-05:00,509.32744648388456,510.50421246535205,501.62366131017427,502.7906188964844,308600,0.0,0.0
2024-02-01 00:00:00-05:00,506.18264505012866,509.93068945211144,491.6058303517842,509.8021240234375,416200,0.0,0.0
2024-02-02 00:00:00-05:00,503.60147975488604,516.4279020727014,502.2070882217873,514.1533203125,426900,0.0,0.0
2024-02-05 00:00:00-05:00,509.02084890612565,509.02084890612565,498.834935604852,502.8994140625,437600,0.0,0.0
2024-02-06 00:00:00-05:00,502.36537396857784,509.83176605107343,498.9041270095998,508.8132019042969,411000,0.0,0.0
2024-02-07 00:00:00-05:00,514.0445555569661,521.8175120240937,512.719426371241,518.6727294921875,399300,0.0,0.0
2024-02-08 00:00:00-05:00,518.9101057448994,520.6209916837977,512.9172063899731,519.5924682617188,374000,0.0,0.0
2024-02-09 00:00:00-05:00,517.8420978930058,521.3132436607266,516.3191106562538,521.3033447265625,320100,0.0,0.0
2024-02-12 00:00:00-05:00,528.0774791488066,535.8109008050554,522.1538120371696,526.4061889648438,595300,0.0,0.0
2024-02-13 00:00:00-05:00,517.0905003242439,523.7459641692196,513.9457176047064,521.412109375,644100,0.0,0.0
2024-02-14 00:00:00-05:00,529.7685608085192,539.0150103080249,525.6150525546548,533.4869384765625,483800,0.0,0.0
2024-02-15 00:00:00-05:00,534.0209386451071,537.0174184399948,524.5865904584111,529.709228515625,430500,0.0,0.0
2024-02-16 00:00:00-05:00,529.0763219271856,544.6914686524531,529.0763219271856,533.8923950195312,648600,0.0,0.0
2024-02-20 00:00:00-05:00,529.2147939141223,532.9529093042443,522.3318352620454,527.2369384765625,339700,0.0,0.0
2024-02-21 00:00:00-05:00,527.3160241161447,531.2420986573605,524.9426337397108,530.3619384765625,334300,0.0,0.0
2024-02-22 00:00:00-05:00,536.6712113188886,543.5937043717634,534.5746896801945,542.0905151367188,286000,0.0,0.0
2024-02-23 00:00:00-05:00,543.9002901264868,544.7409148160998,539.0050863530752,542.6047973632812,344600,0.0,0.0
2024-02-26 00:00:00-05:00,542.9608530751495,551.0305370629062,542.9608530751495,547.18359375,258500,0.0,0.0
2024-02-27 00:00:00-05:00,547.7274755472885,553.008375966632,545.6507515433575,552.8897094726562,358600,0.0,0.0
2024-02-28 00:00:00-05:00,552.6423860771824,561.4834005711484,552.6423860771824,559.8318481445312,494000,0.0,0.0
2024-02-29 00:00:00-05:00,563.6887616015762,574.3592692365614,560.7615140224883,571.3134155273438,854100,0.0,0.0
2024-03-01 00:00:00-05:00,571.8778313385563,584.2355197095787,571.5114636180987,584.1661987304688,654300,0.74,0.0
2024-03-04 00:00:00-05:00,597.2070336022988,599.0686070011449,588.3348552851768,595.9990234375,1051200,0.0,0.0
2024-03-05 00:00:00-05:00,592.4343194526849,604.7424498252807,591.3946256264227,596.9892578125,1040800,0.0,0.0
2024-03-06 00:00:00-05:00,599.3459161333478,606.108911888391,598.761673850243,601.3955688476562,722700,0.0,0.0
2024-03-07 00:00:00-05:00,605.5246971160002,611.0301846390643,603.5739795049136,605.9108276367188,554800,0.0,0.0
2024-03-08 00:00:00-05:00,603.9106689835485,605.9999680942121,588.5725422060797,590.9984741210938,797900,0.0,0.0
2024-03-11 00:00:00-04:00,590.5529276093296,591.929254138442,584.6117515184379,589.8696899414062,452100,0.0,0.0
2024-03-12 00:00:00-04:00,591.1767362621924,597.6130101464889,589.9191680250339,597.24658203125,312600,0.0,0.0
2024-03-13 00:00:00-04:00,597.0683971211607,602.9798989888795,594.9691863222553,598.9893798828125,295100,0.0,0.0
2024-03-14 00:00:00-04:00,596.8504748116454,602.227231156221,594.1274361575545,600.5933837890625,411900,0.0,0.0
2024-03-15 00:00:00-04:00,593.5334252325581,602.564069380864,590.2657901484918,590.4242553710938,620200,0.0,0.0
2024-03-18 00:00:00-04:00,591.4639312168218,596.6822839110597,590.5925538293308,590.909423828125,437100,0.0,0.0
2024-03-19 00:00:00-04:00,588.5626072326141,598.3259251598566,587.8892812138492,596.3653564453125,352000,0.0,0.0
2024-03-20 00:00:00-04:00,595.840588109417,600.474698578291,592.5630414547812,597.7219848632812,388000,0.0,0.0
2024-03-21 00:00:00-04:00,600.365818002256,607.5447400026238,598.5339793217001,606.9407348632812,347800,0.0,0.0
2024-03-22 00:00:00-04:00,602.0590473374037,602.1976288583683,597.1872390491558,601.1678466796875,362400,0.0,0.0
2024-03-25 00:00:00-04:00,601.7322627305313,602.1679514264299,596.1871888161603,598.8804931640625,325500,0.0,0.0
2024-03-26 00:00:00-04:00,599.5142158971646,604.5741032528865,598.078419524528,604.1185913085938,327600,0.0,0.0
2024-03-27 00:00:00-04:00,608.2080878800507,608.970558162557,596.4445542142618,605.861328125,525000,0.0,0.0
2024-03-28 00:00:00-04:00,605.8217487019084,609.0794719176515,603.385844685239,607.9209594726562,309900,0.0,0.0
2024-04-01 00:00:00-04:00,607.9803575083737,610.4558475633752,598.4447649815662,598.4942626953125,302500,0.0,0.0
2024-04-02 00:00:00-04:00,596.9990652889029,597.266437558307,587.6021145800372,596.17724609375,396600,0.0,0.0
2024-04-03 00:00:00-04:00,596.5633893690534,606.8317780805598,596.5633893690534,604.3958740234375,347800,0.0,0.0
2024-04-04 00:00:00-04:00,609.8617541058986,614.6939155280527,598.0486623794425,598.1675415039062,430600,0.0,0.0
2024-04-05 00:00:00-04:00,601.8610023242531,616.1792597248382,598.5933672730849,613.3373413085938,397300,0.0,0.0
2024-04-08 00:00:00-04:00,614.6641415797944,620.5260847350714,612.1985633116443,615.4365234375,438500,0.0,0.0
2024-04-09 00:00:00-04:00,615.7732268027851,615.7732268027851,597.4446878299696,604.6434326171875,457500,0.0,0.0
2024-04-10 00:00:00-04:00,589.0577343669862,605.0296012627738,581.9084875598716,600.6033935546875,386000,0.0,0.0
2024-04-11 00:00:00-04:00,599.3260708001477,605.2474238384648,597.9892698707921,601.1282348632812,283600,0.0,0.0
2024-04-12 00:00:00-04:00,595.9098014572498,600.8311065841342,594.2759540220585,596.2068481445312,239100,0.0,0.0
2024-04-15 00:00:00-04:00,608.15858217381,613.4165206040602,591.9788131084645,593.3650512695312,442800,0.0,0.0
2024-04-16 00:00:00-04:00,595.7811002643748,595.9989748035352,586.1662756983571,589.4042358398438,344100,0.0,0.0
2024-04-17 00:00:00-04:00,590.810317994174,594.1670969346027,584.6513278918875,587.1069946289062,494700,0.0,0.0
2024-04-18 00:00:00-04:00,591.0975732748047,591.0975732748047,576.1357247265398,581.3738403320312,541600,0.0,0.0
2024-04-19 00:00:00-04:00,584.0176815470941,588.5726201331998,566.9566210948628,570.2440795898438,1077000,0.0,0.0
2024-04-22 00:00:00-04:00,572.105597516565,583.1561589653935,569.2538280258794,578.5913696289062,336800,0.0,0.0
2024-04-23 00:00:00-04:00,579.8587604454071,591.374744899768,579.1755227796648,588.5626220703125,300000,0.0,0.0
2024-04-24 00:00:00-04:00,586.9188740615747,592.7808780790364,579.4033200315579,586.017822265625,331800,0.0,0.0
2024-04-25 00:00:00-04:00,578.7398629932795,594.5235906293701,572.7789238006924,591.2163696289062,408300,0.0,0.0
2024-04-26 00:00:00-04:00,592.9194880466836,600.4549261354932,592.9194880466836,599.0587158203125,386200,0.0,0.0
2024-04-29 00:00:00-04:00,599.9994466718474,602.0293366551947,592.9294317841842,596.7318115234375,517000,0.0,0.0
2024-04-30 00:00:00-04:00,594.3156084321258,600.4745980983616,576.5316677972634,581.3143310546875,821900,0.0,0.0
2024-05-01 00:00:00-04:00,580.9776853525843,597.4644730865568,570.7490040882461,585.0671997070312,649200,0.0,0.0
2024-05-02 00:00:00-04:00,586.087096324891,589.8696521125926,574.8483360116442,584.176025390625,593600,0.0,0.0
2024-05-03 00:00:00-04:00,589.6716546314443,592.7907359016301,582.4729100664583,585.235595703125,492000,0.0,0.0
2024-05-06 00:00:00-04:00,591.166805249831,596.7118783936344,588.2061290300093,593.9096069335938,361300,0.0,0.0
2024-05-07 00:00:00-04:00,594.7018479260553,598.5339016478032,589.7409562486752,592.9392700195312,339100,0.0,0.0
2024-05-08 00:00:00-04:00,591.8005472573504,594.078046531798,588.6418194264674,590.7905883789062,284600,0.0,0.0
2024-05-09 00:00:00-04:00,592.2660143014622,598.0784607322458,589.7905239838618,597.2863159179688,269200,0.0,0.0
2024-05-10 00:00:00-04:00,600.6430545100919,607.5546036677731,599.9201702894288,604.4453735351562,339400,0.0,0.0
2024-05-13 00:00:00-04:00,606.7624407717441,607.2476271566641,599.375556629138,602.0886840820312,321800,0.0,0.0
2024-05-14 00:00:00-04:00,601.5143287814498,602.8016319173194,596.96936303386,600.1875,346300,0.0,0.0
