symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
217730,KR,강스템바이오텍,"[76.78, 83.92, 87.55]","[100.8585, 121.92, 151.7897]","[74.823, 84.2424, 97.7518]","[98692477.0, 97428212.0, 95856756.0]","[95705876.0, 95062218.0, 94621752.0]","[92967593.0, 92491104.0, 92091310.0, 91741178.0]",218205625680.0,1596552859.9,2933094800.0,0.013441884419155182,0.0,0.0,2025-12-30,3,0,Health Care,하락(-2.95%) TIGER 헬스케어,"[1754.95, 1714.95, 1684.95]","[1579.78, 1561.46, 1547.08]","[1581.66, 1578.83, 1577.3]",1,"[2320, 2135, 1925]",2320.0
EXAS,US,Exact Sciences Corporation,"[84.95, 85.0, 85.64]","[5.0456, 4.7193, 4.4387]","[6.4057, 6.0684, 5.7425]","[131966100.0, 130048300.0, 128795200.0]","[129559956.0, 129086844.0, 128107200.0]","[126000545.0, 126449800.0, 127138580.0, 127570090.0]",19342830804.021935,497264958.49731445,195481354.5852661,0.010106139921599267,91.18,-5.35,2025-12-30,2,0,Health Care,상승(+2.21%) XLV,"[101.45, 101.41, 101.41]","[84.65, 83.84, 83.02]","[59.12, 58.83, 58.55]",1,"[101.93, 101.57, 101.54]",101.93000030517578
065660,KR,안트로젠,"[82.86, 86.96, 85.37]","[4368.0948, 4700.9882, 4884.2979]","[4008.4418, 4146.9511, 4294.4204]","[2895703.0, 2976741.0, 2790269.0]","[2661846.0, 2598827.0, 2517060.0]","[2368111.0, 2290138.0, 2198678.0, 2114813.0]",468785785000.0,4079476257.5,3796630300.0,0.008098859695585693,0.0,0.0,2025-12-30,3,1,Consumer Discretionary,상승(+11.87%) TIGER 200 경기소비재,"[38207.5, 37155.0, 35932.5]","[28742.0, 28287.0, 27796.0]","[24253.1, 24104.1, 23953.55]",0,"[46850, 47150, 43000]",46850.0
043260,KR,성호전자,"[80.57, 85.62, 83.09]","[1421.6257, 1538.1466, 1598.348]","[1187.1064, 1257.3144, 1325.5211]","[365642490.0, 370471873.0, 364671319.0]","[361098489.0, 359495775.0, 357174717.0]","[343681425.0, 340730768.0, 337444211.0, 334408344.0]",655326884520.0,27037123764.0,44623498920.0,0.06809349650393921,62.86,147.0,2025-12-30,1,2,Information Technology,상승(+4.98%) TIGER 200 IT,"[5957.0, 5626.5, 5278.5]","[3628.6, 3471.44, 3312.04]","[1747.38, 1706.88, 1665.6]",0,"[9240, 9410, 7850]",9240.0
080220,KR,제주반도체,"[66.09, 72.05, 82.6]","[73.3361, 312.2662, 814.9919]","[-137.1611, -47.2756, 125.1779]","[576666783.0, 554304641.0, 550809497.0]","[552151994.0, 548926287.0, 548213811.0]","[549897478.0, 548437844.0, 548075082.0, 547865292.0]",907568649550.0,42065617851.0,589242441700.0,0.6492538520277934,45.35,581.0,2025-12-30,4,1,Information Technology,상승(+4.98%) TIGER 200 IT,"[19650.0, 19280.0, 19105.0]","[19761.6, 19671.6, 19651.6]","[16358.0, 16301.85, 16261.6]",1,"[26350, 22350, 21100]",26350.0
101170,KR,우림피티에스,"[80.5, 80.63, 82.16]","[1505.5476, 1765.2501, 2013.2193]","[1188.6104, 1303.9384, 1445.7946]","[150183344.0, 146616354.0, 143171563.0]","[133137977.0, 130393793.0, 128126458.0]","[124925331.0, 122274602.0, 119023455.0, 115629686.0]",234360000000.0,43449921478.5,61922946400.0,0.2642214814814815,0.0,0.0,2025-12-30,1,1,Industrials,상승(+9.19%) KODEX 산업재,"[11841.5, 11462.0, 11047.5]","[8639.6, 8436.0, 8238.8]","[6081.32, 6022.98, 5969.12]",1,"[17360, 16550, 16480]",17360.0
002240,KR,고려제강,"[77.77, 78.71, 81.98]","[632.3332, 640.8919, 672.2026]","[589.9943, 600.1739, 614.5796]","[18275689.0, 18237279.0, 18168514.0]","[18150255.0, 18132715.0, 18122286.0]","[18074730.0, 18054109.0, 18036421.0, 18021603.0]",577800000000.0,816354952.5,821974000.0,0.0014225925925925925,17.15,1248.0,2025-12-30,4,0,Materials,하락(-1.49%) KODEX 소재산업,"[20112.0, 19962.0, 19837.0]","[18857.6, 18776.0, 18697.8]","[17945.05, 17931.4, 17917.1]",1,"[21400, 21000, 20900]",21400.0
295310,KR,에이치브이엠,"[76.82, 81.87, 80.76]","[6631.7477, 7595.6816, 8224.4539]","[4473.3364, 5097.8054, 5723.1351]","[79438882.0, 79825339.0, 78842034.0]","[77562400.0, 76815337.0, 76163726.0]","[74035614.0, 73570168.0, 73087481.0, 72651748.0]",701023735900.0,30703551885.0,22762317300.0,0.032470109262102094,0.0,0.0,2025-12-30,2,0,Materials,하락(-1.49%) KODEX 소재산업,"[36772.5, 34945.0, 33115.0]","[28819.0, 28137.0, 27443.0]","[26398.75, 26223.25, 26060.75]",0,"[58900, 59400, 50800]",58900.0
030530,KR,원익홀딩스,"[71.46, 78.95, 79.66]","[2843.8085, 3739.9184, 4475.1622]","[2155.9279, 2472.726, 2873.2132]","[853094676.0, 839962192.0, 820288562.0]","[799173778.0, 789747077.0, 782515262.0]","[768551170.0, 761416417.0, 754429907.0, 748687128.0]",3761489674700.0,351909640222.5,639551970800.0,0.1700262465431353,0.0,0.0,2025-12-30,1,0,Energy,상승(+10.51%) KODEX 에너지화학,"[33282.5, 32095.0, 30892.5]","[29681.0, 29226.0, 28718.0]","[12742.72, 12522.62, 12305.8]",1,"[48700, 47750, 40100]",48700.0
049070,KR,인탑스,"[49.7, 78.5, 79.15]","[112.9542, 458.1953, 741.8093]","[135.6338, 200.1461, 308.4787]","[3948673.0, 2056139.0, -1761886.0]","[-668975.0, -1292754.0, -1699690.0]","[-1303552.0, -1611523.0, -1829732.0, -1860851.0]",344860000000.0,6823559319.5,37945306700.0,0.1100310465116279,14.91,1345.0,2025-12-30,1,3,Information Technology,상승(+4.98%) TIGER 200 IT,"[16001.5, 15726.5, 15456.0]","[15380.0, 15311.4, 15235.2]","[15957.7, 15946.0, 15936.75]",1,"[20050, 19820, 15250]",20050.0
489500,KR,엘케이켐,"[75.96, 71.22, 79.05]","[1706.7745, 2062.2289, 2827.7589]","[1111.1055, 1301.3302, 1606.6159]","[12478624.0, 9938166.0, 10370042.0]","[9762177.0, 9385251.0, 9297469.0]","[9396062.0, 9214472.0, 9159176.0, 9081922.0]",227893432800.0,8983636115.0,92218625400.0,0.4046567918476675,23.69,1532.0,2025-12-30,2,2,Materials,하락(-1.49%) KODEX 소재산업,"[23764.0, 22848.0, 22238.0]","[20881.0, 20581.0, 20410.0]","[21813.8, 21759.3, 21745.8]",1,"[36300, 29900, 31050]",36300.0
VTRS,US,Viatris Inc.,"[77.35, 78.36, 78.98]","[0.4134, 0.4295, 0.4413]","[0.3519, 0.3674, 0.3822]","[196073900.0, 190556400.0, 186418500.0]","[182639267.0, 180693644.0, 178545044.0]","[166195490.0, 162341455.0, 158627550.0, 154792560.0]",14247393184.830399,98685139.84719276,68251474.36857224,0.004790453487395961,5.02,-3.13,2025-12-30,3,0,Health Care,상승(+2.21%) XLV,"[11.54, 11.45, 11.37]","[10.84, 10.8, 10.75]","[9.43, 9.41, 9.4]",1,"[12.37, 12.32, 12.24]",12.369999885559082
049630,KR,재영솔루텍,"[78.41, 81.86, 77.66]","[439.3351, 531.9565, 585.6975]","[365.8529, 399.0737, 436.3984]","[1072059251.0, 1087303950.0, 1045946540.0]","[999896638.0, 989011552.0, 974206433.0]","[952210940.0, 941038282.0, 928298825.0, 917158134.0]",527207995600.0,67136014330.25,68753592490.0,0.13041075451018824,92.04,49.0,2025-12-30,2,0,Information Technology,상승(+4.98%) TIGER 200 IT,"[3024.75, 2901.25, 2759.85]","[2129.16, 2057.34, 1981.16]","[1144.61, 1125.66, 1105.96]",0,"[4510, 4670, 4160]",4510.0
ATI,US,ATI Inc.,"[78.5, 78.83, 77.51]","[4.9587, 5.0997, 5.1266]","[4.0118, 4.2294, 4.4088]","[-5357000.0, -4776100.0, -5255700.0]","[-8013344.0, -8565378.0, -8993444.0]","[-9129815.0, -9282935.0, -9485215.0, -9734775.0]",15845778409.26931,159514932.36686707,67750365.40451048,0.0042756097967947436,37.62,3.1,2025-12-30,2,0,Industrials,상승(+5.16%) XLI,"[107.54, 106.75, 105.92]","[100.27, 99.56, 98.89]","[80.32, 79.99, 79.66]",0,"[116.63, 116.95, 116.64]",116.62999725341797
319400,KR,현대무벡스,"[89.74, 90.91, 77.32]","[2117.2624, 2407.9518, 2483.8144]","[1267.2535, 1495.3931, 1693.0774]","[706456273.0, 716634203.0, 699634466.0]","[619950872.0, 592398108.0, 556820756.0]","[485940315.0, 468128127.0, 449178839.0, 430569194.0]",2092755772810.0,334241656163.5,191243304700.0,0.0913834797087729,81.7,230.0,2025-12-30,0,2,Industrials,상승(+9.19%) KODEX 산업재,"[13371.5, 12915.0, 12368.0]","[11051.2, 10901.0, 10706.8]","[6706.6, 6630.3, 6547.12]",0,"[18790, 20350, 19260]",18790.0
AA,US,Alcoa Corporation,"[79.01, 79.88, 77.2]","[3.5893, 3.7329, 3.7645]","[2.8227, 3.0048, 3.1567]","[75461800.0, 79671300.0, 76518500.0]","[72292089.0, 69560611.0, 66789611.0]","[60276435.0, 59394685.0, 58114010.0, 56607875.0]",13924496119.184326,285980739.5084381,226344816.92695618,0.016255153148063434,11.82,4.55,2025-12-30,3,0,Materials,상승(+7.36%) XLB,"[47.41, 46.81, 46.18]","[41.66, 41.32, 40.96]","[32.74, 32.63, 32.53]",0,"[53.77, 54.25, 53.63]",53.77000045776367
CFLT,US,"Confluent, Inc.","[77.69, 77.26, 77.11]","[1.9073, 1.8398, 1.7651]","[1.8353, 1.8362, 1.822]","[217923900.0, 221022700.0, 222968000.0]","[217666367.0, 219114467.0, 218309933.0]","[150595495.0, 138596225.0, 126348925.0, 114004360.0]",9125181041.347185,571841915.9173393,93273881.18209839,0.010221592400135879,62.49,-0.9,2025-12-30,2,1,Information Technology,상승(+4.20%) XLK,"[28.27, 27.87, 27.46]","[24.96, 24.81, 24.66]","[22.8, 22.78, 22.76]",0,"[30.1, 30.11, 30.14]",30.100000381469727
475830,KR,오름테라퓨틱,"[70.56, 74.93, 77.07]","[10935.8427, 11854.6677, 12902.127]","[10563.9344, 10822.081, 11238.0902]","[47761361.0, 47413443.0, 46932318.0]","[46622161.0, 46372317.0, 46200880.0]","[46234136.0, 46048686.0, 45848474.0, 45655598.0]",2547884160000.0,50300363585.0,41750160000.0,0.01638620807627298,0.0,0.0,2025-12-30,4,1,Health Care,하락(-2.95%) TIGER 헬스케어,"[91055.0, 88180.0, 85320.0]","[66504.0, 64805.0, 63164.0]","[35009.55, 34546.05, 34117.55]",1,"[120000, 114200, 104300]",120000.0
217330,KR,싸이토젠,"[78.79, 79.71, 77.05]","[1204.4519, 1355.0064, 1439.173]","[731.4513, 856.1623, 972.7645]","[27175978.0, 28568803.0, 27467398.0]","[24436869.0, 22950447.0, 20468726.0]","[12143507.0, 10762438.0, 9308813.0, 7906167.0]",207934627530.0,9980575665.5,12521496750.0,0.060218429699466225,0.0,0.0,2025-12-30,1,1,Health Care,하락(-2.95%) TIGER 헬스케어,"[5374.0, 5094.5, 4801.75]","[4003.3, 3883.1, 3761.8]","[3495.75, 3473.05, 3449.95]",0,"[8990, 9220, 8910]",8990.0
NDAQ,US,"Nasdaq, Inc.","[78.88, 80.16, 76.78]","[2.4335, 2.6147, 2.6886]","[1.7796, 1.9466, 2.095]","[254426500.0, 256748700.0, 255047200.0]","[245160978.0, 242028000.0, 238919556.0]","[233349125.0, 231905445.0, 230289350.0, 228669060.0]",56454320028.9958,369134114.7572708,229595920.37811282,0.004066932703470503,35.31,2.8,2025-12-30,4,1,Financials,상승(+8.07%) XLF,"[93.37, 92.96, 92.48]","[89.72, 89.5, 89.3]","[86.28, 86.15, 86.01]",0,"[98.87, 99.35, 98.64]",98.87000274658203
FCNCA,US,"First Citizens BancShares, Inc.","[82.67, 81.84, 76.72]","[82.5813, 82.9047, 80.9122]","[71.5449, 73.8169, 75.2359]","[235100.0, 282400.0, 331800.0]","[195411.0, 160089.0, 108789.0]","[-95050.0, -142235.0, -189605.0, -243360.0]",24737256457.39258,171004703.28063965,102365237.3046875,0.004138099852786879,12.82,168.81,2025-12-30,1,1,Financials,상승(+8.07%) XLF,"[2059.82, 2045.5, 2030.86]","[1906.63, 1896.08, 1887.36]","[1882.87, 1880.72, 1878.57]",0,"[2164.17, 2180.48, 2183.12]",2164.169921875
MIDD,US,The Middleby Corporation,"[75.44, 75.92, 76.5]","[7.4217, 7.4066, 7.3614]","[5.9352, 6.2294, 6.4558]","[-3787100.0, -4502500.0, -4826200.0]","[-4837356.0, -4812056.0, -4603033.0]","[-5989200.0, -6217855.0, -6425540.0, -6646075.0]",7643837187.5,123479718.32069397,108561950.0,0.014202546095242822,15.81,-3.96,2025-12-30,4,0,Industrials,상승(+5.16%) XLI,"[139.45, 137.77, 136.1]","[129.67, 129.32, 128.97]","[137.89, 137.87, 137.88]",1,"[151.75, 151.11, 150.57]",151.75
GM,US,General Motors Company,"[76.88, 77.27, 76.28]","[3.3918, 3.3206, 3.2166]","[3.3274, 3.3261, 3.3042]","[926121100.0, 930879000.0, 927467400.0]","[915790011.0, 913727333.0, 909540200.0]","[885979475.0, 881296880.0, 876188640.0, 870865765.0]",77362188142.47668,760868442.2966766,394572648.45199585,0.005100329475238185,15.83,5.24,2025-12-30,1,1,Consumer Discretionary,상승(+9.20%) XLY,"[79.49, 79.02, 78.5]","[73.03, 72.52, 72.01]","[57.01, 56.83, 56.65]",0,"[82.93, 83.06, 82.88]",82.93000030517578
CTSH,US,Cognizant Technology Solutions Corporation,"[80.84, 81.19, 75.46]","[2.9236, 2.8611, 2.7341]","[2.9271, 2.9139, 2.878]","[126789300.0, 130446800.0, 128833900.0]","[123390878.0, 122155011.0, 119790333.0]","[108361420.0, 106169720.0, 103710695.0, 101108755.0]",41024950205.0,401555592.03163147,310887500.0,0.0075780104167465865,19.68,4.32,2025-12-30,3,1,Information Technology,상승(+4.20%) XLK,"[82.74, 82.37, 81.95]","[76.17, 75.78, 75.4]","[74.17, 74.13, 74.09]",0,"[85.0, 85.57, 85.42]",85.0
274090,KR,켄코아에어로스페이스,"[74.69, 74.9, 75.27]","[1523.5525, 1718.1578, 1863.0121]","[661.4963, 872.8286, 1070.8653]","[54058549.0, 52748194.0, 50694552.0]","[44691191.0, 42689121.0, 40857939.0]","[39640745.0, 38704612.0, 37837785.0, 37072282.0]",233002455000.0,29420624785.5,23298111900.0,0.09999084301493733,0.0,0.0,2025-12-30,1,0,Industrials,상승(+9.19%) KODEX 산업재,"[12432.5, 12041.5, 11668.0]","[11386.0, 11251.2, 11115.6]","[11811.1, 11788.3, 11772.1]",0,"[17780, 17630, 17540]",17780.0
007810,KR,코리아써키트,"[64.29, 69.82, 75.23]","[2347.6565, 2696.2928, 3309.6541]","[2646.5362, 2656.4875, 2787.1208]","[59733672.0, 58372346.0, 57442101.0]","[56826021.0, 56354057.0, 56148216.0]","[56705953.0, 56499912.0, 56261026.0, 56093881.0]",1140882273300.0,31399540480.0,65752045800.0,0.057632629885476544,0.0,0.0,2025-12-30,3,1,Information Technology,상승(+4.98%) TIGER 200 IT,"[38095.0, 37487.5, 36867.5]","[30360.0, 29777.4, 29277.6]","[16776.85, 16594.85, 16433.35]",1,"[48300, 43650, 40100]",48300.0
304360,KR,에스바이오메딕스,"[61.58, 70.55, 75.22]","[1259.2806, 1535.932, 1938.5969]","[1447.1197, 1464.8822, 1559.6251]","[33360017.0, 33108700.0, 32765500.0]","[32723780.0, 32639753.0, 32569740.0]","[32511587.0, 32398171.0, 32291080.0, 32195720.0]",453469521450.0,5910402167.5,9537480150.0,0.021032240754578723,0.0,0.0,2025-12-30,4,0,Health Care,하락(-2.95%) TIGER 헬스케어,"[31912.5, 31312.5, 30822.5]","[27283.0, 27005.0, 26815.0]","[23242.15, 23173.9, 23116.9]",1,"[37950, 35400, 32000]",37950.0
MSGS,US,Madison Square Garden Sports Corp.,"[78.42, 78.89, 75.0]","[8.5546, 9.2565, 9.5303]","[5.7136, 6.4222, 7.0438]","[6747200.0, 6929200.0, 6805900.0]","[6463100.0, 6407889.0, 6304356.0]","[6015075.0, 5950105.0, 5871805.0, 5789555.0]",5037735363.901978,42304154.89196777,46946902.22167969,0.009319048904013284,-6964.09,-0.98,2025-12-30,3,0,Communication Services,상승(+4.68%) XLC,"[237.75, 236.26, 234.55]","[227.39, 226.6, 225.86]","[207.29, 206.93, 206.57]",0,"[257.95, 260.09, 259.12]",257.95001220703125
445680,KR,큐리옥스바이오시스템즈,"[63.57, 70.62, 74.71]","[5201.9404, 5818.2021, 6761.2196]","[5457.2107, 5529.4089, 5775.7711]","[18374190.0, 18194306.0, 17920045.0]","[17991694.0, 17942088.0, 17934960.0]","[17819140.0, 17772821.0, 17746298.0, 17721772.0]",2003020461000.0,18320997735.0,21046428000.0,0.010507345486372444,0.0,0.0,2025-12-30,3,1,Health Care,하락(-2.95%) TIGER 헬스케어,"[97865.0, 96755.0, 96035.0]","[84784.0, 83850.0, 82988.0]","[48897.05, 48380.9, 47901.45]",1,"[117000, 110400, 101900]",117000.0
FOX,US,Fox Corporation,"[76.46, 78.09, 74.61]","[1.6646, 1.7111, 1.7042]","[1.5362, 1.5712, 1.5978]","[109504900.0, 110422800.0, 109731400.0]","[106791367.0, 105874889.0, 104710567.0]","[101620930.0, 100788990.0, 99863385.0, 98891725.0]",15341036995.04261,87252700.75265884,59773650.52108765,0.0038963239929871263,14.63,4.45,2025-12-30,2,1,Communication Services,상승(+4.68%) XLC,"[62.64, 62.3, 61.93]","[59.27, 58.99, 58.72]","[52.86, 52.77, 52.68]",0,"[65.12, 65.42, 64.94]",65.12000274658203
SNDR,US,"Schneider National, Inc.","[73.64, 74.29, 74.57]","[1.2032, 1.1695, 1.1329]","[1.1911, 1.1868, 1.176]","[16496500.0, 15699000.0, 15161200.0]","[14406611.0, 14083556.0, 13729056.0]","[12598790.0, 12027295.0, 11478775.0, 10904385.0]",2521741634.6503506,27443132.138414383,21795674.939155575,0.008643103892829065,42.7,0.64,2025-12-30,2,0,Industrials,상승(+5.16%) XLI,"[26.3, 26.06, 25.82]","[23.75, 23.68, 23.58]","[23.55, 23.53, 23.51]",1,"[27.33, 27.29, 27.19]",27.329999923706055
FOXA,US,Fox Corporation,"[77.92, 78.91, 74.47]","[2.2127, 2.2621, 2.2367]","[1.9953, 2.0486, 2.0862]","[267054200.0, 269584200.0, 268336100.0]","[259425811.0, 257105433.0, 254115333.0]","[244915445.0, 242470405.0, 239829280.0, 237142585.0]",15381260335.133057,256312231.10694885,186764599.22790527,0.012142346931174912,16.59,4.45,2025-12-30,2,1,Communication Services,상승(+4.68%) XLC,"[70.73, 70.31, 69.85]","[66.38, 66.04, 65.71]","[58.12, 58.01, 57.9]",0,"[73.82, 74.3, 73.91]",73.81999969482422
