symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,rsi_d_2ago,rsi_d_1ago,rsi_d_latest,obv_latest,obv_1ago,signal_obv_latest,signal_obv_1ago,close
PSN,US,Parsons Corporation,"[23.74, 24.76, 27.25]","[-5.8714, -5.9989, -5.9643]","[-4.1945, -4.5554, -4.8372]","[-5144700.0, -7337500.0, -8737100.0]","[-6000722.0, -6327778.0, -5780722.0]",6536269276.902077,150264049.70222473,134594066.3421631,0.020591879042956923,28.29,2.17,2025-12-19,1,2,Industrials,23.74,24.76,27.25,-5144700.0,-7337500.0,-6000722.0,-6327778.0,61.380001068115234
XP,US,XP Inc.,"[33.14, 34.49, 35.88]","[-0.3458, -0.4515, -0.5188]","[-0.0388, -0.1213, -0.2008]","[49134800.0, 43725900.0, 38360200.0]","[48873311.0, 51544200.0, 53924722.0]",6651466232.820555,137509109.26686764,86596490.23799896,0.013019158063330904,9.42,1.7,2025-12-19,1,3,Financials,33.14,34.49,35.88,49134800.0,43725900.0,48873311.0,51544200.0,16.010000228881836
NRG,US,"NRG Energy, Inc.","[34.78, 41.04, 42.82]","[-2.149, -2.5826, -2.7685]","[-0.7847, -1.1443, -1.4691]","[168275600.0, 164381700.0, 162163500.0]","[166290511.0, 165821233.0, 165602456.0]",29934074944.76294,311319740.00709534,608227168.1167603,0.02031888973482949,23.35,6.69,2025-12-19,0,2,Utilities,34.78,41.04,42.82,168275600.0,164381700.0,166290511.0,165821233.0,156.1999969482422
GTES,US,Gates Industrial Corporation plc,"[38.91, 40.3, 42.94]","[-0.32, -0.3299, -0.3203]","[-0.3357, -0.3345, -0.3317]","[124074500.0, 120768900.0, 118675800.0]","[121980833.0, 121626700.0, 121916311.0]",5581439407.15184,50641067.54274368,71434018.01757811,0.012798493866303615,23.75,0.91,2025-12-19,1,3,Industrials,38.91,40.3,42.94,124074500.0,120768900.0,121980833.0,121626700.0,21.610000610351562
281820,KR,케이씨텍,"[42.77, 44.13, 44.37]","[-872.267, -854.4323, -826.7335]","[-472.0978, -548.5647, -604.1984]","[12605665.0, 12523165.0, 12456593.0]","[12600893.0, 12628204.0, 12670755.0]",767610983300.0,3329457322.5,3060750000.0,0.003987371294300239,14.19,2615.0,2025-12-19,3,1,Information Technology,42.77,44.13,44.37,12605665.0,12523165.0,12600893.0,12628204.0,37100.0
DKS,US,"DICK'S Sporting Goods, Inc.","[42.43, 45.04, 47.54]","[-1.0381, -1.2411, -1.2209]","[-0.5696, -0.7039, -0.8073]","[-14143600.0, -16770900.0, -18560000.0]","[-15561889.0, -15478011.0, -14905022.0]",14085729593.69371,445275525.98968506,557355420.3964233,0.039568800230692744,17.28,12.28,2025-12-19,1,2,Consumer Discretionary,42.43,45.04,47.54,-14143600.0,-16770900.0,-15561889.0,-15478011.0,212.13999938964844
064820,KR,케이프,"[38.74, 40.58, 47.85]","[-408.91, -393.8141, -343.197]","[-464.5119, -450.3723, -428.9373]","[51183668.0, 50965458.0, 50847049.0]","[51094120.0, 51080813.0, 51074810.0]",332193576000.0,1937588148.5,2345757500.0,0.00706141740681945,19.09,563.0,2025-12-19,3,2,Industrials,38.74,40.58,47.85,51183668.0,50965458.0,51094120.0,51080813.0,10750.0
CRUS,US,"Cirrus Logic, Inc.","[45.19, 45.22, 48.32]","[0.1632, -0.0177, -0.0683]","[0.1056, 0.0809, 0.0511]","[20520800.0, 18826700.0, 18464800.0]","[19564811.0, 19435522.0, 19536856.0]",6181821292.313522,63391351.79473877,205223272.96600342,0.033197865687443616,17.28,7.01,2025-12-19,0,3,Information Technology,45.19,45.22,48.32,20520800.0,18826700.0,19564811.0,19435522.0,121.13999938964844
ECG,US,"Everus Construction Group, Inc.","[41.87, 46.14, 48.55]","[-0.0485, -0.3028, -0.3526]","[0.6551, 0.4635, 0.3003]","[6421200.0, 5372200.0, 5017400.0]","[6014800.0, 5939578.0, 6045544.0]",4541115309.9861145,55395433.51688385,93392468.71948242,0.020565976053087274,25.15,3.54,2025-12-19,1,1,Industrials,41.87,46.14,48.55,6421200.0,5372200.0,6014800.0,5939578.0,89.02999877929688
TDY,US,Teledyne Technologies Incorporated,"[43.61, 44.84, 48.89]","[-1.6363, -1.9804, -1.7847]","[-3.033, -2.8225, -2.6149]","[6583300.0, 6123000.0, 5875100.0]","[6432100.0, 6443444.0, 6559356.0]",23945473338.375732,177578839.58572388,234757607.4951172,0.009803840758448805,29.58,17.24,2025-12-19,1,3,Industrials,43.61,44.84,48.89,6583300.0,6123000.0,6432100.0,6443444.0,510.010009765625
MCK,US,McKesson Corporation,"[43.17, 44.96, 49.09]","[-5.6612, -5.8381, -5.1372]","[-1.4543, -2.3311, -2.8923]","[44827500.0, 43407700.0, 42736100.0]","[43614756.0, 43424567.0, 43502022.0]",101240709662.5,719361486.7526245,1164590950.0,0.01150318833088316,25.64,31.99,2025-12-19,1,2,Health Care,43.17,44.96,49.09,44827500.0,43407700.0,43614756.0,43424567.0,820.25
AWI,US,"Armstrong World Industries, Inc.","[44.8, 48.51, 49.13]","[-1.1469, -1.0115, -0.8755]","[-1.3434, -1.277, -1.1967]","[16169000.0, 15533300.0, 15141300.0]","[15838067.0, 15829256.0, 15853133.0]",8030872990.375946,60816029.44030762,118373701.26800537,0.014739829830438396,26.75,6.96,2025-12-19,1,2,Industrials,44.8,48.51,49.13,16169000.0,15533300.0,15838067.0,15829256.0,186.2100067138672
