symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
009540,KOSPI,HD한국조선해양,"[54.06, 56.13, 59.6]","[-2939.4167, -1043.6208, 1370.9615]","[-7987.1893, -6598.4756, -5004.5882]","[13462196.0, 13266240.0, 13097458.0]","[12930288.0, 12800692.0, 12708622.0]","[12713470.0, 12684830.0, 12679582.0, 12688781.0]",296893.0,79569096900.0,82203542000.0,0.002768793538412829,13.69,30639.0,2026-04-17,2,1,Industrials,상승(+37.62%) KODEX 산업재,"[379875.0, 379125.0, 379400.0]","[402820.0, 402460.0, 402570.0]","[402332.5, 402195.0, 402032.5]",1,"[419500, 408000, 401500]",419500.0
086520,KOSDAQ,에코프로,"[49.81, 50.85, 53.04]","[-1596.7354, -1264.2737, -774.0058]","[-1806.9642, -1698.4261, -1513.542]","[143494811.0, 142286684.0, 141611000.0]","[141559182.0, 141121545.0, 140711979.0]","[141127815.0, 140997351.0, 140968730.0, 141020159.0]",206244.0,165561281795.0,183514491300.0,0.008897931154360854,0.0,-1103.0,2026-04-17,0,3,Materials,하락(-0.81%) KODEX 소재산업,"[146360.0, 146310.0, 146405.0]","[155504.0, 155716.0, 155982.0]","[94153.25, 93638.25, 93106.5]",0,"[151900, 149200, 147900]",151900.0
247540,KOSDAQ,에코프로비엠,"[52.35, 53.93, 55.81]","[1198.5078, 1480.6575, 1924.1576]","[948.3873, 1054.8413, 1228.7046]","[44369367.0, 43794163.0, 43442680.0]","[43787608.0, 43677754.0, 43567454.0]","[43588573.0, 43520357.0, 43460361.0, 43439919.0]",203487.0,94931404325.0,119642432000.0,0.00587961058937426,516.13,403.0,2026-04-17,0,2,Utilities,상승(+12.09%) TIGER KRX 기후변화솔루션,"[199670.0, 198865.0, 198100.0]","[201564.0, 201694.0, 202234.0]","[155047.0, 154533.0, 154004.0]",0,"[208000, 205000, 202500]",208000.0
377300,KOSPI,카카오페이,"[50.36, 52.67, 54.74]","[-1643.6159, -1271.9015, -878.4284]","[-2250.4848, -2054.7681, -1819.5002]","[66566972.0, 66122222.0, 65797741.0]","[65369719.0, 65158934.0, 64921988.0]","[64806129.0, 64759964.0, 64688717.0, 64645978.0]",76684.0,20922796385.0,25217325000.0,0.0032884728235355485,169.25,335.0,2026-04-17,1,2,Information Technology,상승(+20.64%) TIGER 200 IT,"[52362.5, 52742.5, 52972.5]","[58555.0, 58691.0, 58847.0]","[57563.75, 57740.25, 57922.25]",0,"[56700, 55600, 54400]",56700.0
018880,KOSPI,한온시스템,"[53.62, 54.58, 56.96]","[-19.4464, -5.7576, 11.0158]","[-42.5606, -35.2, -25.9568]","[408296450.0, 382427033.0, 370868965.0]","[367438322.0, 362532317.0, 360914746.0]","[366441537.0, 364233564.0, 362549475.0, 362138865.0]",42693.0,30214135336.25,107616774720.0,0.02520712405312346,0.0,-257.0,2026-04-17,2,2,Consumer Discretionary,상승(+5.45%) TIGER 200 경기소비재,"[3914.25, 3913.25, 3914.5]","[4108.2, 4089.0, 4072.8]","[3492.1, 3485.98, 3479.74]",1,"[4160, 4085, 4055]",4160.0
214150,KOSDAQ,클래시스,"[55.93, 57.84, 59.11]","[-552.3254, -201.23, 124.0012]","[-1299.5922, -1079.9197, -839.1355]","[-407230.0, -667236.0, -1008750.0]","[-1247640.0, -1398254.0, -1503745.0]","[-1401775.0, -1446517.0, -1485704.0, -1498379.0]",37967.0,11131117205.0,15132349200.0,0.00398565838754708,28.9,2014.0,2026-04-17,0,1,Health Care,하락(-1.42%) TIGER 헬스케어,"[53390.0, 53150.0, 52895.0]","[57777.0, 58067.0, 58401.0]","[56167.25, 56197.75, 56211.75]",1,"[58200, 57600, 56700]",58200.0
111770,KOSPI,영원무역,"[51.42, 52.47, 52.66]","[-986.1311, -719.0816, -493.6829]","[-1609.255, -1431.2203, -1243.7128]","[4157702.0, 4056019.0, 3980678.0]","[4034813.0, 4011169.0, 3993837.0]","[4026168.0, 4021753.0, 4018343.0, 4024362.0]",37620.0,5382396725.0,8632886700.0,0.0022947598883572566,7.64,11109.0,2026-04-17,1,1,Consumer Discretionary,상승(+5.45%) TIGER 200 경기소비재,"[81685.0, 81650.0, 81475.0]","[86750.0, 86734.0, 86856.0]","[73817.5, 73695.5, 73571.5]",1,"[84900, 84800, 84200]",84900.0
001430,KOSPI,세아베스틸지주,"[51.39, 54.33, 59.59]","[-349.6042, -32.1095, 583.9574]","[-388.3384, -317.0927, -136.8827]","[16867662.0, 16465575.0, 16307516.0]","[16041419.0, 15898394.0, 15813445.0]","[15970925.0, 15921142.0, 15884290.0, 15861823.0]",26932.0,18270925605.0,30196733700.0,0.011212213612060004,47.93,1567.0,2026-04-17,2,0,Materials,하락(-0.81%) KODEX 소재산업,"[67720.0, 67275.0, 67005.0]","[69832.0, 69748.0, 69794.0]","[44215.0, 43974.0, 43746.5]",1,"[75100, 70500, 68200]",75100.0
000120,KOSPI,CJ대한통운,"[43.9, 46.61, 48.44]","[-2974.034, -2717.1294, -2381.1828]","[-3146.3577, -3060.5121, -2924.6462]","[-56057.0, -122279.0, -220381.0]","[-137164.0, -141977.0, -143053.0]","[-107437.0, -105646.0, -102952.0, -92156.0]",24364.0,6598148825.0,7072509600.0,0.002902852405187982,10.06,10612.0,2026-04-17,0,1,Industrials,상승(+37.62%) KODEX 산업재,"[105650.0, 106000.0, 106365.0]","[115722.0, 115566.0, 115532.0]","[96153.0, 96063.5, 95975.5]",0,"[106800, 105500, 103600]",106800.0
003690,KOSPI,코리안리,"[42.86, 44.15, 46.94]","[-292.8128, -271.7577, -241.7943]","[-230.5082, -238.7581, -239.3653]","[15168933.0, 14722875.0, 14285146.0]","[14260507.0, 14229455.0, 14247964.0]","[15100335.0, 15186215.0, 15276107.0, 15397410.0]",23982.0,4298137944.5,5490973980.0,0.0022896230422817113,7.45,1653.0,2026-04-17,2,0,Financials,상승(+9.36%) TIGER 200 금융,"[12450.5, 12493.5, 12539.5]","[12903.4, 12886.6, 12878.4]","[11527.05, 11517.1, 11507.6]",0,"[12310, 12180, 12120]",12310.0
