symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,rsi_d_2ago,rsi_d_1ago,rsi_d_latest,obv_latest,obv_1ago,signal_obv_latest,signal_obv_1ago,close
XEL,US,Xcel Energy Inc.,"[27.56, 35.62, 36.65]","[-1.7899, -1.7516, -1.6889]","[-1.3635, -1.4411, -1.4907]","[183442100.0, 175369700.0, 166022200.0]","[179088078.0, 177981867.0, 178308667.0]",43779859863.39529,460855263.4289551,597438341.2445068,0.01364641968038893,22.56,3.28,2025-12-24,1,1,Utilities,하락(-4.08%) XLU,27.56,35.62,36.65,183442100.0,175369700.0,179088078.0,177981867.0,74.01000213623047
AZO,US,"AutoZone, Inc.","[29.76, 32.05, 37.17]","[-123.1473, -122.5653, -116.74]","[-93.2112, -99.082, -102.6136]","[4404200.0, 4211100.0, 4074300.0]","[4310267.0, 4284200.0, 4309011.0]",57384472273.5564,643220140.9985352,668823111.7431641,0.011655123507189027,24.16,143.39,2025-12-24,2,2,Consumer Discretionary,상승(+9.20%) XLY,29.76,32.05,37.17,4404200.0,4211100.0,4310267.0,4284200.0,3463.610107421875
VVV,US,Valvoline Inc.,"[39.08, 41.23, 41.76]","[-0.5046, -0.5225, -0.5257]","[-0.5312, -0.5294, -0.5287]","[-44792700.0, -46552400.0, -48428700.0]","[-45440189.0, -45674967.0, -45995989.0]",3799445481.022339,90295820.40941238,52544643.07403564,0.013829555743460002,17.88,1.67,2025-12-24,1,2,Materials,상승(+7.36%) XLB,39.08,41.23,41.76,-44792700.0,-46552400.0,-45440189.0,-45674967.0,29.860000610351562
FE,US,FirstEnergy Corp.,"[39.36, 41.79, 44.57]","[-0.4832, -0.4694, -0.4356]","[-0.3845, -0.4015, -0.4083]","[156651800.0, 152912600.0, 150013000.0]","[154096489.0, 153717600.0, 154246900.0]",25786990022.620926,215294843.23711395,166917885.71777344,0.006472949559888507,19.41,2.3,2025-12-24,3,1,Utilities,하락(-4.08%) XLU,39.36,41.79,44.57,156651800.0,152912600.0,154096489.0,153717600.0,44.63999938964844
NI,US,NiSource Inc.,"[38.25, 43.99, 45.69]","[-0.4376, -0.4182, -0.3863]","[-0.3575, -0.3696, -0.3729]","[296376100.0, 293119300.0, 290246700.0]","[295407033.0, 295445833.0, 296291233.0]",19686472484.304466,137573497.97233582,135482875.03051755,0.006882029024678478,21.89,1.9,2025-12-24,1,3,Utilities,하락(-4.08%) XLU,38.25,43.99,45.69,296376100.0,293119300.0,295407033.0,295445833.0,41.599998474121094
SRE,US,Sempra,"[37.67, 44.24, 47.31]","[-1.0297, -0.9689, -0.8631]","[-0.7348, -0.7817, -0.7979]","[31969000.0, 28761600.0, 25967000.0]","[31398344.0, 31402333.0, 31130622.0]",57879797481.46259,325875355.4300308,284432232.9788208,0.0049141884622163215,27.29,3.25,2025-12-24,2,3,Utilities,하락(-4.08%) XLU,37.67,44.24,47.31,31969000.0,28761600.0,31398344.0,31402333.0,88.68000030517578
MDU,US,"MDU Resources Group, Inc.","[38.46, 45.69, 47.46]","[-0.1754, -0.1661, -0.1505]","[-0.0719, -0.0908, -0.1027]","[54431276.0, 51095876.0, 48480776.0]","[53654409.0, 54039476.0, 54408665.0]",3995683994.6182823,52534944.853839874,65207067.45529175,0.016319375491935302,21.72,0.9,2025-12-24,2,2,Utilities,하락(-4.08%) XLU,38.46,45.69,47.46,54431276.0,51095876.0,53654409.0,54039476.0,19.549999237060547
KIM,US,Kimco Realty Corporation,"[45.12, 45.94, 47.62]","[-0.0664, -0.0728, -0.0706]","[-0.1073, -0.1004, -0.0945]","[-63838200.0, -71319700.0, -76518700.0]","[-66642489.0, -67541867.0, -68087589.0]",13618372799.046448,93806306.99235916,150452969.56634519,0.011047793432184485,24.23,0.83,2025-12-24,2,2,Real Estate,하락(-0.49%) XLRE,45.12,45.94,47.62,-63838200.0,-71319700.0,-66642489.0,-67541867.0,20.110000610351562
