symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
AAPL,US,Apple Inc.,"[42.99, 46.32, 48.44]","[-4.6279, -4.0804, -3.5093]","[-4.8966, -4.7334, -4.4886]","[2117059400.0, 2024706800.0, 1957453800.0]","[1956729022.0, 1934914733.0, 1931377711.0]","[1991997760.0, 1994937615.0, 2003859780.0, 2017251575.0]",3809462368491.8213,13375123341.862411,23963653662.615967,0.006290560542301211,32.89,7.89,2026-02-02,3,1,Information Technology,하락(-1.36%) XLK,"[257.65, 258.27, 259.01]","[268.3, 268.45, 268.74]","[236.38, 236.09, 235.79]",0,"[259.48, 258.28, 256.44]",259.4800109863281
005300,KR,롯데칠성,"[52.53, 57.61, 59.66]","[180.4122, 433.3633, 714.355]","[-17.1282, 72.9701, 201.2471]","[722164.0, 676286.0, 629189.0]","[650919.0, 638520.0, 628910.0]","[617422.0, 611963.0, 611204.0, 614307.0]",1248937786400.0,3474260340.0,6175178800.0,0.004944344600061818,19.44,6923.0,2026-02-02,1,0,Consumer Staples,상승(+9.78%) KODEX 필수소비재,"[129005.0, 128850.0, 128875.0]","[129986.0, 129732.0, 129442.0]","[120990.0, 120834.0, 120689.0]",1,"[134600, 133500, 131000]",134600.0
LLY,US,Eli Lilly and Company,"[42.47, 42.56, 46.23]","[0.3557, -2.1878, -3.1178]","[6.5053, 4.7667, 3.1898]","[170537700.0, 167235800.0, 164942800.0]","[170358867.0, 169967978.0, 169518522.0]","[169818230.0, 169745885.0, 169920970.0, 170148130.0]",928268725673.5939,3131082289.3341064,3424565665.612793,0.0036891964265280755,50.25,20.64,2026-02-02,2,2,Health Care,하락(-0.69%) XLV,"[1060.22, 1062.1, 1064.88]","[1054.85, 1054.54, 1054.56]","[851.48, 850.04, 848.56]",0,"[1037.15, 1024.14, 1023.8]",1037.1500244140625
105630,KR,한세실업,"[51.97, 52.4, 57.0]","[97.4553, 94.4658, 118.1695]","[155.7092, 143.4605, 138.4023]","[3964975.0, 3770118.0, 3608452.0]","[3736314.0, 3746145.0, 3764903.0]","[3743030.0, 3708442.0, 3687965.0, 3681972.0]",572800000000.0,2295595304.0,2790352240.0,0.004871425,17.29,828.0,2026-02-02,2,0,Consumer Discretionary,상승(+25.44%) TIGER 200 경기소비재,"[13973.5, 13910.5, 13865.5]","[13719.2, 13691.6, 13667.2]","[11417.35, 11395.1, 11375.55]",0,"[14320, 13980, 13950]",14320.0
084010,KR,대한제강,"[38.08, 40.89, 41.13]","[-316.5996, -305.3581, -292.273]","[-274.1932, -280.4262, -282.7955]","[3386217.0, 3267274.0, 3231090.0]","[3190777.0, 3164603.0, 3149536.0]","[3159402.0, 3149598.0, 3155864.0, 3158318.0]",360558042040.0,600703734.5,1247712070.0,0.00346050267785063,12.76,822.0,2026-02-02,2,1,Materials,상승(+4.73%) KODEX 소재산업,"[10638.0, 10687.5, 10817.0]","[11281.5, 11274.54, 11268.32]","[10888.22, 10885.48, 10882.66]",0,"[10490, 10480, 10360]",10490.0
GE,US,GE Aerospace,"[39.11, 44.11, 49.64]","[-2.8655, -3.1569, -2.7166]","[1.0852, 0.2368, -0.3539]","[549764036.0, 542337736.0, 536187836.0]","[540384325.0, 540492725.0, 540969636.0]","[541824156.0, 540947301.0, 540569546.0, 540341531.0]",321765536987.5104,1941070050.738678,2278314640.4571533,0.007080667065179166,37.19,8.25,2026-02-02,2,1,Industrials,상승(+5.46%) XLI,"[312.9, 312.96, 313.61]","[303.74, 303.6, 303.71]","[273.45, 272.84, 272.25]",0,"[306.79, 298.86, 292.48]",306.7900085449219
009680,KR,모토닉,"[43.82, 48.39, 52.93]","[-147.4569, -127.1379, -100.9946]","[-188.1148, -175.9194, -160.9344]","[1367559.0, 1288102.0, 1240892.0]","[1251157.0, 1240064.0, 1234817.0]","[1252371.0, 1247990.0, 1248940.0, 1254525.0]",293403000000.0,324124078.5,831120220.0,0.0028326916221033866,10.24,1021.0,2026-02-02,2,0,Consumer Discretionary,상승(+25.44%) TIGER 200 경기소비재,"[10172.0, 10153.5, 10141.0]","[10717.0, 10719.6, 10724.6]","[10399.3, 10391.95, 10384.85]",1,"[10460, 10350, 10250]",10460.0
MS,US,Morgan Stanley,"[51.42, 51.52, 53.78]","[1.315, 1.1748, 1.1632]","[2.199, 1.9941, 1.8279]","[482437400.0, 475006300.0, 467532900.0]","[471552611.0, 471129600.0, 472465389.0]","[477207240.0, 476636330.0, 476591880.0, 477039375.0]",289372404830.9326,1296254659.6503448,1358405102.6779175,0.0046943145925457995,17.85,10.24,2026-02-02,3,0,Financials,하락(-3.40%) XLF,"[183.14, 182.83, 182.66]","[176.68, 176.2, 175.83]","[149.93, 149.55, 149.17]",0,"[182.8, 181.4, 181.34]",182.8000030517578
MRK,US,"Merck & Co., Inc.","[50.67, 54.96, 59.99]","[1.5022, 1.3899, 1.44]","[2.2506, 2.0785, 1.9508]","[-49883100.0, -68941800.0, -82514600.0]","[-68227811.0, -71714156.0, -71432633.0]","[-62074505.0, -63572190.0, -63739075.0, -62902425.0]",273692616712.73517,1377887376.7598724,2101602785.0212097,0.007678697402447759,14.32,7.7,2026-02-02,2,1,Health Care,하락(-0.69%) XLV,"[108.99, 108.74, 108.63]","[104.07, 103.7, 103.38]","[86.67, 86.5, 86.35]",0,"[110.27, 108.34, 106.9]",110.2699966430664
UNP,US,Union Pacific Corporation,"[46.5, 54.27, 56.05]","[-0.4588, -0.1126, 0.2812]","[-0.532, -0.4481, -0.3022]","[878700.0, -2962400.0, -6502300.0]","[-7368489.0, -8541644.0, -8858744.0]","[-6255375.0, -6735780.0, -6935700.0, -6864410.0]",139452128624.26675,791740994.8843384,903042633.4442137,0.006475646104171915,19.49,12.06,2026-02-02,2,1,Industrials,상승(+5.46%) XLI,"[229.91, 229.72, 229.69]","[231.11, 230.8, 230.57]","[223.99, 223.91, 223.81]",1,"[235.1, 233.58, 227.71]",235.10000610351562
