티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,날짜
038500,삼표시멘트,642748,834557,191809,2971095422,3844044837,872949415,20251219
088980,맥쿼리인프라,165924,353850,187926,1927935880,4118902425,2190966545,20251219
298830,슈어소프트테크,341715,519282,177567,2361234350,3556661230,1195426880,20251219
003470,유안타증권,70822,247536,176714,264426430,927649602,663223172,20251219
228760,지노믹트리,57142,233212,176070,1596944000,6553627300,4956683300,20251219
037270,YG PLUS,384524,558467,173943,2609645800,3802623315,1192977515,20251219
215600,신라젠,147773,320316,172543,514704759,1112110125,597405366,20251219
475830,오름테라퓨틱,323280,493960,170680,33169064300,50825950900,17656886600,20251219
099440,스맥,205426,371859,166433,1327452780,2362123420,1034670640,20251219
314130,지놈앤컴퍼니,879211,1040403,161192,5929801190,7013680985,1083879795,20251219
082740,한화엔진,261321,421259,159938,10765081150,17487625700,6722544550,20251219
066970,엘앤에프,104294,262646,158352,11045933500,27571907050,16525973550,20251219
035420,NAVER,929467,1086104,156637,218278199226,255052889476,36774690250,20251219
094480,갤럭시아머니트리,49265,204122,154857,445934375,1852322700,1406388325,20251219
067390,아스트,83429,236725,153296,49184580,139154691,89970111,20251219
005880,대한해운,506195,648129,141934,922889353,1180129640,257240287,20251219
036620,감성코퍼레이션,155197,295127,139930,961681105,1819315040,857633935,20251219
042670,HD현대인프라코어,455103,594263,139160,6905975465,9010617705,2104642240,20251219
432320,KB스타리츠,27388,165995,138607,88430195,531896840,443466645,20251219
011930,신성이엔지,207754,345629,137875,324341667,541192931,216851264,20251219
053300,한국정보인증,13727,149106,135379,82732650,903012440,820279790,20251219
045390,대아티아이,48064,178861,130797,185180177,688791094,503610917,20251219
052020,에스티큐브,74050,203519,129469,583630435,1596257290,1012626855,20251219
093370,후성,233892,360360,126468,1742230290,2671990535,929760245,20251219
190510,나무가,90616,215733,125117,1694896030,4029629555,2334733525,20251219
226950,올릭스,186143,307292,121149,25204401700,41946083700,16741682000,20251219
100790,미래에셋벤처투자,2240144,2360762,120618,38581145755,40586980100,2005834345,20251219
025980,아난티,139378,259482,120104,1039488100,1942367990,902879890,20251219
002900,TYM,41719,160952,119233,270427805,1048362305,777934500,20251219
156100,엘앤케이바이오,48685,165825,117140,711693605,2427404850,1715711245,20251219
099430,바이오플러스,32795,147060,114265,171316330,767859420,596543090,20251219
014280,금강공업,83914,198146,114232,581237870,1380486395,799248525,20251219
032620,유비케어,49299,160850,111551,189339260,616542805,427203545,20251219
194370,제이에스코퍼레이션,111791,222157,110366,1631201970,3239022655,1607820685,20251219
075580,세진중공업,94439,202524,108085,1642337540,3535525120,1893187580,20251219
255220,SG,387368,492680,105312,1018714891,1296710835,277995944,20251219
080580,오킨스전자,94319,199616,105297,951696765,1993975800,1042279035,20251219
220100,퓨쳐켐,127202,231371,104169,3955095475,7224511550,3269416075,20251219
445680,큐리옥스바이오시스템즈,61410,165346,103936,6344139050,17180456550,10836317500,20251219
328130,루닛,125223,227729,102506,4952180125,9014014050,4061833925,20251219
174900,앱클론,160116,261914,101798,6506755125,10654585875,4147830750,20251219
017670,SK텔레콤,356388,457656,101268,18992216850,24396489100,5404272250,20251219
126600,BGF에코머티리얼즈,50780,150173,99393,196728907,580955450,384226543,20251219
373220,LG에너지솔루션,247025,343406,96381,92419028750,128450635000,36031606250,20251219
000250,삼천당제약,46909,142161,95252,11136529000,33911553750,22775024750,20251219
035250,강원랜드,142025,236496,94471,2631178940,4380325670,1749146730,20251219
014940,오리엔탈정공,56276,150331,94055,446392215,1204674660,758282445,20251219
377190,디앤디플랫폼리츠,34276,125662,91386,116063958,425813333,309749375,20251219
071050,한국금융지주,127215,217444,90229,20511852300,34964492000,14452639700,20251219
298380,에이비엘바이오,251837,341720,89883,48324740200,65808795450,17484055250,20251219
368770,파이버프로,127684,215956,88272,1225441190,2082939610,857498420,20251219
466100,클로봇,1033231,1116858,83627,67223148050,73193975500,5970827450,20251219
005010,휴스틸,25872,108224,82352,103348365,434943105,331594740,20251219
100840,SNT에너지,39224,121539,82315,1523393850,4715008225,3191614375,20251219
395400,SK리츠,801998,883040,81042,4567969025,5029602050,461633025,20251219
404990,신한서부티엔디리츠,11220,92160,80940,40605995,333078286,292472291,20251219
252990,샘씨엔에스,88338,167112,78774,580275270,1094053335,513778065,20251219
031330,에스에이엠티,76921,154636,77715,289467414,584815407,295347993,20251219
348340,뉴로메카,76740,153908,77168,2447875500,4940796750,2492921250,20251219
078930,GS,136553,212893,76340,7545598850,11760145400,4214546550,20251219
066570,LG전자,538295,613082,74787,50537431800,57538627100,7001195300,20251219
358570,지아이이노베이션,192565,267112,74547,3343616575,4660442835,1316826260,20251219
042000,카페24,49884,124216,74332,1533811175,3823353350,2289542175,20251219
019170,신풍제약,81736,154023,72287,1178180430,2249249840,1071069410,20251219
309710,아이티켐,50735,122943,72208,1770844950,4256164800,2485319850,20251219
323990,박셀바이오,21234,93320,72086,218832310,972933025,754100715,20251219
039490,키움증권,123226,194296,71070,36340571500,57103747500,20763176000,20251219
020560,아시아나항공,28088,98723,70635,228654900,804228350,575573450,20251219
336260,두산퓨얼셀,146142,214246,68104,4367555900,6409640800,2042084900,20251219
456010,아이씨티케이,71891,139517,67626,1105762040,2161610480,1055848440,20251219
043260,성호전자,221605,289171,67566,1570593265,1996153970,425560705,20251219
003520,영진약품,62630,129867,67237,123651591,256493290,132841699,20251219
139130,iM금융지주,221294,288203,66909,3256173620,4240242170,984068550,20251219
348950,제이알글로벌리츠,189082,255285,66203,544642446,733770485,189128039,20251219
448900,한국피아이엠,91222,155570,64348,4662139400,7842731875,3180592475,20251219
478340,나라스페이스테크놀로지,593100,657444,64344,21268970725,23459155875,2190185150,20251219
071970,HD현대마린엔진,64079,127914,63835,5374675700,10773522400,5398846700,20251219
064350,현대로템,126002,189354,63352,22660099150,34098165050,11438065900,20251219
488900,비츠로넥스텍,1925342,1988472,63130,22290695305,22739462760,448767455,20251219
023160,태광,43949,105785,61836,1044691050,2506574650,1461883600,20251219
314930,바이오다인,43061,104274,61213,614608970,1501118765,886509795,20251219
112040,위메이드,42520,102342,59822,1113509725,2676748450,1563238725,20251219
000400,롯데손해보험,53182,111789,58607,93936559,198177141,104240582,20251219
468530,프로티나,141350,198633,57283,13671018300,19442127700,5771109400,20251219
287840,인투셀,80480,137470,56990,4802309200,8238384150,3436074950,20251219
005935,삼성전자우,1948864,2004756,55892,161931902810,166639838410,4707935600,20251219
