symbol,market,name,sector,sector_trend,type,base_date,target_date,days_elapsed,close,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,ma20,ma50,ma200,break_20high,close_d,latest_close,latest_update,change_rate
137950,KOSDAQ,제이씨케미칼,Energy,상승(+11.30%) KODEX 에너지화학,short,2026-04-22,2026-05-22,29,4870.0,1084.0,22589568488.0,46811311730.0,0.431838669095941,0.0,-178.0,2026-04-22,1,1,"[49.26, 48.58, 56.59]","[70.8192, 52.4682, 76.98]","[188.6539, 161.4168, 144.5294]","[22255259.0, 12643080.0, 13039969.0]","[13934472.0, 12813936.0, 12569239.0]","[16655905.0, 16032810.0, 15922269.0, 15723474.0]","[4787.5, 4752.25, 4748.0]","[4119.5, 4088.5, 4067.1]","[3659.45, 3654.72, 3652.88]",0,"[4870, 4375, 4415]",3630.0,2026-05-21,-25.46
347890,KOSDAQ,엠엑스온,Information Technology,상승(+22.50%) TIGER 200 IT,short,2026-04-22,2026-05-22,29,5930.0,1006.0,416747763.0,5329445180.0,0.0529765922465208,58.71,101.0,2026-04-22,1,1,"[47.73, 50.51, 65.15]","[-60.0941, -49.276, -5.1391]","[-114.7379, -101.6455, -82.3442]","[7922880.0, 7024154.0, 6982836.0]","[7156175.0, 7062288.0, 7068258.0]","[7122842.0, 7086705.0, 7097117.0, 7108774.0]","[5378.0, 5355.5, 5357.0]","[5671.2, 5684.4, 5708.6]","[6092.7, 6090.7, 6090.75]",1,"[5930, 5490, 5430]",5420.0,2026-05-21,-8.6
294140,KOSDAQ,레몬,Materials,상승(+2.13%) KODEX 소재산업,short,2026-04-22,2026-05-22,29,3905.0,875.0,724397704.0,9227101070.0,0.1054525836571428,0.0,-554.0,2026-04-22,2,1,"[47.35, 48.79, 56.33]","[-154.5354, -132.5743, -90.3247]","[-278.5083, -249.3215, -217.5221]","[46520478.0, 44157584.0, 44086128.0]","[44454601.0, 44193496.0, 44190144.0]","[44285108.0, 44157535.0, 44140745.0, 44138034.0]","[3398.5, 3361.5, 3330.25]","[4172.0, 4231.5, 4293.1]","[5509.18, 5509.65, 5512.22]",1,"[3905, 3610, 3560]",2770.0,2026-05-21,-29.07
246960,KOSDAQ,SCL사이언스,Health Care,하락(-5.91%) TIGER 헬스케어,short,2026-04-22,2026-05-22,29,2215.0,753.0,684226642.75,1434768465.0,0.0190540300796812,0.0,-120.0,2026-04-22,1,3,"[51.34, 48.67, 53.5]","[38.9145, 31.367, 30.2814]","[37.1053, 35.9576, 34.8224]","[17322356.0, 16674605.0, 16779709.0]","[16869426.0, 16806451.0, 16824461.0]","[16996913.0, 16809999.0, 16655471.0, 16495348.0]","[2199.75, 2192.25, 2188.0]","[2110.98, 2108.78, 2108.68]","[2462.82, 2467.3, 2471.33]",0,"[2215, 2150, 2185]",1804.0,2026-05-21,-18.56
016600,KOSDAQ,큐캐피탈,Financials,상승(+3.73%) TIGER 200 금융,short,2026-04-22,2026-05-22,29,305.0,544.0,326818529.65,734740425.0,0.0135062578125,21.79,14.0,2026-04-22,3,0,"[49.36, 47.72, 54.97]","[-3.9434, -3.7587, -2.1353]","[-5.1446, -4.8674, -4.321]","[202600947.0, 200191962.0, 201489111.0]","[201285983.0, 201039281.0, 201146925.0]","[202191086.0, 202440179.0, 202690061.0, 202824575.0]","[288.15, 288.45, 289.6]","[310.02, 310.36, 309.58]","[273.72, 273.62, 273.66]",0,"[305, 287, 291]",293.0,2026-05-21,-3.93
027580,KOSDAQ,상보,Materials,상승(+2.13%) KODEX 소재산업,short,2026-04-22,2026-05-22,29,651.0,385.0,287793325.6,718019148.0,0.018649848,0.0,-218.0,2026-04-22,0,3,"[53.04, 50.46, 57.02]","[6.1198, 5.4, 7.5665]","[-2.724, -1.0992, 0.6339]","[333161847.0, 332058899.0, 332329374.0]","[332819138.0, 332549850.0, 332417726.0]","[331694282.0, 331580866.0, 331515444.0, 331426830.0]","[606.2, 603.5, 601.7]","[623.1, 625.92, 629.76]","[811.16, 812.7, 814.6]",1,"[651, 616, 628]",2140.0,2026-05-21,228.73
019570,KOSDAQ,플루토스,Financials,상승(+3.73%) TIGER 200 금융,short,2026-04-22,2026-05-22,29,527.0,357.0,1665964720.95,9570924996.0,0.2680931371428571,12.26,43.0,2026-04-22,3,2,"[54.27, 54.08, 68.21]","[5.0553, 6.1673, 16.6206]","[-0.4316, 0.8882, 4.0347]","[125823157.0, 107662009.0, 110269739.0]","[115000052.0, 114004394.0, 115417194.0]","[118154524.0, 118016431.0, 118749188.0, 119294197.0]","[386.1, 379.3, 378.3]","[407.5, 402.08, 399.2]","[322.0, 320.83, 320.33]",1,"[527, 406, 407]",397.0,2026-05-21,-24.67
208640,KOSDAQ,썸에이지,Communication Services,하락(-9.64%) TIGER 미디어컨텐츠,short,2026-04-22,2026-05-22,29,218.0,304.0,710747339.1,4388035236.0,0.1443432643421052,0.0,-67.0,2026-04-22,2,2,"[39.91, 38.02, 58.96]","[-8.0302, -8.761, -5.245]","[-7.2142, -7.5235, -7.0678]","[187978734.0, 167850132.0, 169254618.0]","[171997881.0, 169598101.0, 168730890.0]","[165910678.0, 164556292.0, 164186310.0, 163723998.0]","[190.4, 189.4, 190.65]","[203.86, 204.76, 206.66]","[322.47, 322.65, 323.05]",0,"[218, 168, 173]",165.0,2026-05-21,-24.31
091970,KOSDAQ,나노캠텍,Materials,상승(+2.13%) KODEX 소재산업,short,2026-04-22,2026-05-22,29,781.0,294.0,381266220.75,5254878057.0,0.178737348877551,0.0,-234.0,2026-04-22,1,2,"[44.76, 43.42, 67.21]","[-9.6771, -10.9836, 2.4769]","[-2.6742, -4.3361, -2.9735]","[53490379.0, 46761982.0, 46930163.0]","[47576728.0, 46860592.0, 46899054.0]","[47386452.0, 47065896.0, 47089969.0, 47099868.0]","[648.7, 644.4, 649.65]","[636.7, 632.44, 631.98]","[636.07, 635.28, 635.45]",1,"[781, 601, 609]",757.0,2026-05-21,-3.07
044490,KOSDAQ,태웅,Energy,상승(+12.66%) KODEX 에너지화학,short,2026-04-23,2026-05-23,28,53000.0,10604.0,23754600322.5,48454932000.0,0.0456949566201433,195.57,271.0,2026-04-23,1,2,"[52.31, 50.83, 59.97]","[1610.3929, 1388.3504, 1677.1963]","[1849.1678, 1757.0043, 1741.0427]","[72634397.0, 71720153.0, 72003043.0]","[72246000.0, 72135031.0, 72144240.0]","[71987607.0, 71895085.0, 71863823.0, 71848090.0]","[48102.5, 47717.5, 47692.5]","[43106.0, 42614.0, 42269.0]","[34557.25, 34455.5, 34393.25]",1,"[53000, 47000, 47800]",39150.0,2026-05-21,-26.13
064960,KOSPI,SNT모티브,Consumer Discretionary,상승(+3.94%) TIGER 200 경기소비재,short,2026-04-23,2026-05-23,28,35500.0,9422.0,1840332870.0,4272070000.0,0.0045341434939503,13.53,2623.0,2026-04-23,3,1,"[55.69, 55.69, 59.05]","[112.3464, 172.9293, 270.2758]","[2.5408, 36.6185, 83.3499]","[2417208.0, 2296868.0, 2296868.0]","[2311596.0, 2311614.0, 2320349.0]","[2371460.0, 2377622.0, 2392398.0, 2401895.0]","[33862.5, 33810.0, 33805.0]","[34079.0, 34033.0, 34017.0]","[34193.5, 34172.5, 34154.5]",1,"[35500, 34850, 34850]",33100.0,2026-05-21,-6.76
