symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d
054920,KOSDAQ,한컴위드,"[49.12, 45.57, 43.82]","[411.9237, 309.9792, 211.419]","[556.4207, 507.1324, 447.9897]","[263243167.0, 264072094.0, 265030534.0]","[265725893.0, 263343162.0, 260726432.0]","[248885982.0, 245953917.0, 242296943.0, 237594744.0]",1682.0,42645128373.5,4940404920.0,0.029372205231866826,21.44,278.0,2026-05-18,0,4,Materials,상승(+1.52%) KODEX 소재산업,"[7009.5, 7045.5, 7058.5]","[5692.5, 5662.0, 5618.4]","[4789.0, 4782.85, 4776.38]",0,"[5960, 6150, 6520]"
331740,KOSDAQ,아우토크립트,"[31.46, 27.03, 26.21]","[-755.478, -875.516, -974.7422]","[-519.0168, -590.3166, -667.2017]","[28605235.0, 28697287.0, 28822993.0]","[28965636.0, 29059354.0, 29157610.0]","[29375147.0, 29430870.0, 29502638.0, 29558317.0]",1149.0,1887629716.5,1085293080.0,0.009445544647519582,0.0,-1411.0,2026-05-18,1,2,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[14705.5, 14948.5, 15183.0]","[15873.4, 15999.0, 16077.4]","[15585.6, 15657.9, 15727.0]",0,"[11790, 11980, 12900]"
107600,KOSDAQ,새빗켐,"[42.4, 36.53, 35.28]","[-315.3761, -593.2609, -844.1021]","[399.4681, 200.9223, -8.0826]","[24952453.0, 24970635.0, 25010292.0]","[25058145.0, 25087835.0, 25109372.0]","[25018178.0, 24978680.0, 24936637.0, 24890641.0]",1388.0,3073295802.5,447277200.0,0.003222458213256484,0.0,-3299.0,2026-05-18,2,2,Utilities,상승(+22.34%) TIGER KRX 기후변화솔루션,"[29927.5, 30147.5, 30317.5]","[27929.0, 27965.0, 27923.0]","[29909.25, 29885.7, 29856.2]",0,"[24600, 25100, 27200]"
100590,KOSDAQ,머큐리,"[52.96, 47.82, 46.52]","[739.4146, 585.5958, 436.8706]","[652.9497, 639.479, 598.9573]","[175229222.0, 176009588.0, 177768716.0]","[178248368.0, 175800972.0, 172307201.0]","[160595816.0, 159369282.0, 158261002.0, 157186538.0]",1222.0,33634508261.5,5564009580.0,0.045531993289689036,0.0,-156.0,2026-05-18,0,4,Information Technology,상승(+50.13%) TIGER 200 IT,"[7789.5, 7835.5, 7983.0]","[6722.8, 6648.2, 6563.1]","[4139.3, 4120.6, 4100.73]",0,"[7130, 7400, 8410]"
417500,KOSDAQ,제이아이테크,"[60.96, 45.23, 43.7]","[110.7668, 66.2162, 21.3835]","[56.4108, 58.3719, 50.9742]","[46173495.0, 47016444.0, 49189799.0]","[47377852.0, 47349288.0, 47151307.0]","[46392620.0, 46400427.0, 46393323.0, 46228178.0]",1443.0,3902368791.5,3708975600.0,0.02570322661122661,21.36,206.0,2026-05-18,1,2,Information Technology,상승(+50.13%) TIGER 200 IT,"[4805.0, 4832.5, 4858.75]","[4860.8, 4867.8, 4857.5]","[3675.32, 3670.38, 3664.65]",0,"[4400, 4515, 5430]"
013990,KOSDAQ,아가방컴퍼니,"[55.53, 47.26, 48.34]","[44.6418, 30.7145, 21.846]","[59.2462, 53.5398, 47.2011]","[64992485.0, 64572050.0, 65120245.0]","[64368769.0, 64270487.0, 64254447.0]","[64138823.0, 64050355.0, 63969152.0, 63851864.0]",1635.0,2193184969.5,2089561950.0,0.012780195412844036,14.16,351.0,2026-05-18,0,3,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[5102.5, 5105.5, 5105.5]","[4945.5, 4944.7, 4935.7]","[4805.18, 4807.77, 4810.48]",0,"[4970, 4940, 5170]"
147830,KOSDAQ,제룡산업,"[56.23, 49.68, 48.57]","[1115.5907, 934.9098, 769.1352]","[1104.8797, 1070.8857, 1010.5356]","[295611826.0, 296240130.0, 297303143.0]","[297279561.0, 296841161.0, 296148655.0]","[282085624.0, 280400953.0, 278698110.0, 276895414.0]",1996.0,38010208822.0,6270473920.0,0.0314152,17.39,574.0,2026-05-18,1,3,Utilities,상승(+22.34%) TIGER KRX 기후변화솔루션,"[10516.5, 10416.0, 10309.5]","[8744.0, 8683.8, 8607.2]","[7121.3, 7102.5, 7083.25]",0,"[9980, 10150, 11090]"
182360,KOSDAQ,큐브엔터,"[29.45, 27.13, 26.59]","[-478.3884, -518.4238, -548.669]","[-299.0223, -342.9026, -384.0559]","[4249612.0, 4285744.0, 4311822.0]","[4395893.0, 4448778.0, 4502902.0]","[4615741.0, 4646560.0, 4673514.0, 4698317.0]",1308.0,462111078.5,303870120.0,0.0023231660550458717,0.0,-341.0,2026-05-18,1,3,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[9811.0, 9929.5, 10015.0]","[10233.8, 10284.6, 10314.2]","[13304.95, 13345.45, 13383.0]",0,"[8410, 8470, 8720]"
038110,KOSDAQ,에코플라스틱,"[34.76, 31.81, 31.69]","[-124.9044, -144.8389, -159.2054]","[-57.7509, -75.1685, -91.9759]","[336031656.0, 336536895.0, 337414457.0]","[337755432.0, 338383416.0, 339112118.0]","[342002153.0, 342401398.0, 342929831.0, 343620112.0]",1231.0,8610555555.25,1510664610.0,0.012271848984565395,62.29,48.0,2026-05-18,1,4,Consumer Discretionary,상승(+25.74%) TIGER 200 경기소비재,"[3446.75, 3485.0, 3530.25]","[3494.6, 3492.7, 3486.0]","[3342.95, 3347.18, 3351.5]",0,"[2990, 2995, 3110]"
129920,KOSDAQ,대성하이텍,"[48.56, 49.87, 41.77]","[-291.7156, -248.8237, -336.8277]","[-193.7317, -204.7501, -231.1656]","[51239817.0, 51880429.0, 51197939.0]","[50686998.0, 50633736.0, 50546470.0]","[51224746.0, 51300638.0, 51310269.0, 51366693.0]",1495.0,6629741233.5,5893630400.0,0.03942227692307692,0.0,-394.0,2026-05-18,0,3,Industrials,하락(-8.37%) KODEX 산업재,"[10827.5, 11017.5, 11050.0]","[11077.2, 11030.2, 10935.0]","[6093.62, 6072.02, 6042.5]",0,"[9200, 10760, 10540]"
