티커,종목명,날짜,외국인순매수,기관순매수
005930,삼성전자,20260205,-16017134,-4566923
000660,SK하이닉스,20260205,-1611758,-635664
005380,현대차,20260205,-53882,-97861
005935,삼성전자우,20260205,-1373106,40351
373220,LG에너지솔루션,20260205,8720,-39597
207940,삼성바이오로직스,20260205,-5763,-17714
402340,SK스퀘어,20260205,-81339,-77855
012450,한화에어로스페이스,20260205,-103779,-21339
000270,기아,20260205,231160,6155
034020,두산에너빌리티,20260205,-2206897,-1099636
329180,HD현대중공업,20260205,-21756,-88922
028260,삼성물산,20260205,73629,-102604
105560,KB금융,20260205,29049,-109818
068270,셀트리온,20260205,-28550,51405
055550,신한지주,20260205,243206,-238134
042660,한화오션,20260205,-808810,-301420
035420,NAVER,20260205,-304938,-159685
015760,한국전력,20260205,223857,-68723
012330,현대모비스,20260205,75390,-46445
032830,삼성생명,20260205,6122,-18282
010130,고려아연,20260205,-6538,-11930
086790,하나금융지주,20260205,29607,1433
267260,HD현대일렉트릭,20260205,-83435,-5103
006400,삼성SDI,20260205,-28982,22890
005490,POSCO홀딩스,20260205,52894,7370
009540,HD한국조선해양,20260205,33839,-58592
006800,미래에셋증권,20260205,-168777,-407826
035720,카카오,20260205,-92846,-253947
010140,삼성중공업,20260205,-449878,-504663
034730,SK,20260205,48793,-22982
316140,우리금융지주,20260205,25234,-122252
000810,삼성화재,20260205,7762,-9151
086520,에코프로,20260205,-223084,-272180
064350,현대로템,20260205,-507895,-157950
051910,LG화학,20260205,13881,-33702
298040,효성중공업,20260205,16210,-8586
138040,메리츠금융지주,20260205,537,119000
009150,삼성전기,20260205,-58903,-68431
272210,한화시스템,20260205,-410891,-266546
247540,에코프로비엠,20260205,-8467,-131575
196170,알테오젠,20260205,-23523,-74493
003670,포스코퓨처엠,20260205,-51709,14288
011200,HMM,20260205,456257,-345549
033780,KT&G,20260205,42112,-43555
267250,HD현대,20260205,19228,-22466
010120,LS ELECTRIC,20260205,-41571,-13620
096770,SK이노베이션,20260205,-55275,-27039
042700,한미반도체,20260205,-125688,97888
024110,기업은행,20260205,51727,-162290
086280,현대글로비스,20260205,-18198,-33786
017670,SK텔레콤,20260205,-32512,145594
066570,LG전자,20260205,124194,-136199
047810,한국항공우주,20260205,-282685,56459
352820,하이브,20260205,37833,-62777
0126Z0,삼성에피스홀딩스,20260205,-9885,-8762
003550,LG,20260205,38448,-53503
030200,KT,20260205,-302,-18356
000150,두산,20260205,2388,-12410
277810,레인보우로보틱스,20260205,-27097,-28957
018260,삼성에스디에스,20260205,8332,-59088
323410,카카오뱅크,20260205,787060,91404
000720,현대건설,20260205,87246,-170537
071050,한국금융지주,20260205,37677,3182
047050,포스코인터내셔널,20260205,-52112,59045
000250,삼천당제약,20260205,28598,-53144
039490,키움증권,20260205,51001,-40915
307950,현대오토에버,20260205,-10568,-20313
259960,크래프톤,20260205,-9210,-4616
010950,S-Oil,20260205,-9632,23619
005830,DB손해보험,20260205,-38376,57999
278470,에이피알,20260205,339286,-5207
298380,에이비엘바이오,20260205,42647,-117485
079550,LIG넥스원,20260205,-41698,-36293
005940,NH투자증권,20260205,-46405,-63990
377300,카카오페이,20260205,-121169,65990
005387,현대차2우B,20260205,-20987,-9128
003490,대한항공,20260205,1033672,609841
000880,한화,20260205,30434,5016
007660,이수페타시스,20260205,-316830,84024
326030,SK바이오팜,20260205,-31268,-126554
000100,유한양행,20260205,47437,-67584
950160,코오롱티슈진,20260205,108761,2676
161390,한국타이어앤테크놀로지,20260205,-36614,51502
090430,아모레퍼시픽,20260205,89180,-9264
003230,삼양식품,20260205,6818,-7607
016360,삼성증권,20260205,-21634,-41839
180640,한진칼,20260205,13796,-14843
443060,HD현대마린솔루션,20260205,-102839,-36265
058470,리노공업,20260205,-137676,191085
006260,LS,20260205,57117,-22938
454910,두산로보틱스,20260205,-33845,-46902
028300,HLB,20260205,-30330,-173543
128940,한미약품,20260205,-37425,25910
064400,LG씨엔에스,20260205,-122630,-55112
029780,삼성카드,20260205,21872,3718
032640,LG유플러스,20260205,139172,-346689
141080,리가켐바이오,20260205,56939,-41770
214370,케어젠,20260205,1659,-26850
078930,GS,20260205,-39166,51798
087010,펩트론,20260205,-7192,-35751
009830,한화솔루션,20260205,249861,55087
028050,삼성E&A,20260205,76723,21804
001040,CJ,20260205,19028,-12258
267270,HD건설기계,20260205,-145404,134695
021240,코웨이,20260205,1326,-37508
022100,포스코DX,20260205,-168751,-142424
001440,대한전선,20260205,-456545,-428079
005385,현대차우,20260205,36430,-2250
241560,두산밥캣,20260205,24339,-36203
034220,LG디스플레이,20260205,106870,-296506
011070,LG이노텍,20260205,-23986,-62271
138930,BNK금융지주,20260205,60762,57519
052690,한전기술,20260205,-16769,11146
175330,JB금융지주,20260205,142585,-70535
088980,맥쿼리인프라,20260205,-288889,207872
240810,원익IPS,20260205,-65559,79230
271560,오리온,20260205,8335,21537
066970,엘앤에프,20260205,-73305,34013
039030,이오테크닉스,20260205,-13740,30026
082740,한화엔진,20260205,-10859,-19015
450080,에코프로머티,20260205,-125106,-4141
000990,DB하이텍,20260205,-83483,49881
036570,엔씨소프트,20260205,2166,-6935
214150,클래시스,20260205,119476,-60286
140410,메지온,20260205,25495,-34363
062040,산일전기,20260205,-66506,-25242
251270,넷마블,20260205,-52595,-13475
108490,로보티즈,20260205,9505,-58429
011790,SKC,20260205,-57822,-52021
002380,KCC,20260205,-2499,-14674
018880,한온시스템,20260205,-5810335,-2104529
111770,영원무역,20260205,-4623,5278
004020,현대제철,20260205,-150577,-22392
051900,LG생활건강,20260205,23331,-15071
310210,보로노이,20260205,29598,-32589
036460,한국가스공사,20260205,263305,-13821
302440,SK바이오사이언스,20260205,-38755,-33419
035250,강원랜드,20260205,94137,-50131
403870,HPSP,20260205,-285934,227788
017800,현대엘리베이터,20260205,46253,-23536
347850,디앤디파마텍,20260205,-74816,-118206
319400,현대무벡스,20260205,-58975,4451
031210,서울보증보험,20260205,21379,27213
011780,금호석유화학,20260205,4290,-11936
0009K0,에임드바이오,20260205,-70082,-1113
214450,파마리서치,20260205,-412508,-310928
263750,펄어비스,20260205,5436,-62497
097950,CJ제일제당,20260205,7188,12941
058610,에스피지,20260205,57087,-101827
012750,에스원,20260205,13228,-7996
004990,롯데지주,20260205,68759,-30048
011170,롯데케미칼,20260205,-248433,-109832
088350,한화생명,20260205,-565134,-159077
357780,솔브레인,20260205,-1120,7322
457190,이수스페셜티케미컬,20260205,-210484,-99099
004170,신세계,20260205,12726,-3923
103590,일진전기,20260205,-135188,19185
095340,ISC,20260205,118325,-96127
014680,한솔케미칼,20260205,19831,-19659
008930,한미사이언스,20260205,-137695,240177
489790,한화비전,20260205,-30599,23022
103140,풍산,20260205,-287985,-62487
237690,에스티팜,20260205,89093,-70981
145020,휴젤,20260205,-7922,8809
001720,신영증권,20260205,-6975,7468
068760,셀트리온제약,20260205,-86396,-27285
030530,원익홀딩스,20260205,-106316,14706
009970,영원무역홀딩스,20260205,3731,3976
353200,대덕전자,20260205,28579,-60703
204320,HL만도,20260205,43346,19033
001430,세아베스틸지주,20260205,-20938,-27489
139480,이마트,20260205,-11843,-44409
383220,F&F,20260205,11369,-10835
071970,HD현대마린엔진,20260205,-42851,-102703
439260,대한조선,20260205,25452,4640
023530,롯데쇼핑,20260205,-8310,45383
081660,미스토홀딩스,20260205,-34342,61645
001450,현대해상,20260205,33667,-8528
009420,한올바이오파마,20260205,-80039,-22593
139130,iM금융지주,20260205,-225544,342906
028670,팬오션,20260205,-271379,-14725
226950,올릭스,20260205,-7170,12500
257720,실리콘투,20260205,-59074,-90330
005290,동진쎄미켐,20260205,129692,68183
012510,더존비즈온,20260205,-177465,-21495
000240,한국앤컴퍼니,20260205,-8184,-28374
