market,symbol,name,date
US,SF,Stifel Financial Corp.,2026-03-26
US,SYK,Stryker Corporation,2026-03-26
US,SMMT,Summit Therapeutics Inc.,2026-03-26
US,SUI,"Sun Communities, Inc.",2026-03-26
US,SMCI,"Super Micro Computer, Inc.",2026-03-26
US,SYF,Synchrony Financial,2026-03-26
US,SNPS,"Synopsys, Inc.",2026-03-26
US,SYY,Sysco Corporation,2026-03-26
US,TMUS,"T-Mobile US, Inc.",2026-03-26
US,TTWO,"Take-Two Interactive Software, Inc.",2026-03-26
US,TLN,Talen Energy Corporation,2026-03-26
US,TPR,"Tapestry, Inc.",2026-03-26
US,TRGP,Targa Resources Corp.,2026-03-26
US,TGT,Target Corporation,2026-03-26
US,SNX,TD SYNNEX Corporation,2026-03-26
US,FTI,TechnipFMC plc,2026-03-26
US,TDY,Teledyne Technologies Incorporated,2026-03-26
US,TFX,Teleflex Incorporated,2026-03-26
US,TEM,"Tempus AI, Inc.",2026-03-26
US,THC,Tenet Healthcare Corporation,2026-03-26
US,TDC,Teradata Corporation,2026-03-26
US,TER,"Teradyne, Inc.",2026-03-26
US,TSLA,"Tesla, Inc.",2026-03-26
US,TTEK,"Tetra Tech, Inc.",2026-03-26
US,TXN,Texas Instruments Incorporated,2026-03-26
US,TPL,Texas Pacific Land Corporation,2026-03-26
US,TXRH,"Texas Roadhouse, Inc.",2026-03-26
US,TXT,Textron Inc.,2026-03-26
US,TMO,Thermo Fisher Scientific Inc.,2026-03-26
US,TFSL,TFS Financial Corporation,2026-03-26
US,THO,"THOR Industries, Inc.",2026-03-26
US,TKR,The Timken Company,2026-03-26
US,TJX,"The TJX Companies, Inc.",2026-03-26
US,TKO,"TKO Group Holdings, Inc.",2026-03-26
US,TOST,"Toast, Inc.",2026-03-26
US,TOL,"Toll Brothers, Inc.",2026-03-26
US,BLD,TopBuild Corp.,2026-03-26
US,TTC,The Toro Company,2026-03-26
US,TPG,TPG Inc.,2026-03-26
US,TSCO,Tractor Supply Company,2026-03-26
US,TTD,"The Trade Desk, Inc.",2026-03-26
US,TW,Tradeweb Markets Inc.,2026-03-26
US,TT,Trane Technologies plc,2026-03-26
US,TDG,TransDigm Group Incorporated,2026-03-26
US,TRU,TransUnion,2026-03-26
US,TNL,Travel + Leisure Co.,2026-03-26
US,TRV,"The Travelers Companies, Inc.",2026-03-26
US,TREX,"Trex Company, Inc.",2026-03-26
US,TRMB,Trimble Inc.,2026-03-26
US,TFC,Truist Financial Corporation,2026-03-26
US,DJT,Trump Media & Technology Group Corp.,2026-03-26
US,TWLO,Twilio Inc.,2026-03-26
US,TYL,"Tyler Technologies, Inc.",2026-03-26
US,TSN,"Tyson Foods, Inc.",2026-03-26
US,UHAL,U-Haul Holding Company,2026-03-26
US,UHAL-B,U-Haul Holding Company,2026-03-26
US,USB,U.S. Bancorp,2026-03-26
US,UBER,"Uber Technologies, Inc.",2026-03-26
US,UI,Ubiquiti Inc.,2026-03-26
US,UDR,"UDR, Inc.",2026-03-26
US,UGI,UGI Corporation,2026-03-26
US,PATH,"UiPath, Inc.",2026-03-26
US,ULTA,"Ulta Beauty, Inc.",2026-03-26
US,RARE,Ultragenyx Pharmaceutical Inc.,2026-03-26
US,UAA,"Under Armour, Inc.",2026-03-26
US,UA,"Under Armour, Inc.",2026-03-26
US,UNP,Union Pacific Corporation,2026-03-26
US,UAL,"United Airlines Holdings, Inc.",2026-03-26
US,UPS,"United Parcel Service, Inc.",2026-03-26
US,URI,"United Rentals, Inc.",2026-03-26
US,UTHR,United Therapeutics Corporation,2026-03-26
US,UWMC,UWM Holdings Corporation,2026-03-26
US,UNH,UnitedHealth Group Incorporated,2026-03-26
US,U,Unity Software Inc.,2026-03-26
US,OLED,Universal Display Corporation,2026-03-26
US,UHS,"Universal Health Services, Inc.",2026-03-26
US,UNM,Unum Group,2026-03-26
US,USFD,US Foods Holding Corp.,2026-03-26
US,MTN,"Vail Resorts, Inc.",2026-03-26
US,VLO,Valero Energy Corporation,2026-03-26
US,VMI,"Valmont Industries, Inc.",2026-03-26
US,VVV,Valvoline Inc.,2026-03-26
US,VEEV,Veeva Systems Inc.,2026-03-26
US,VTR,"Ventas, Inc.",2026-03-26
US,VLTO,Veralto Corporation,2026-03-26
US,VRSN,"VeriSign, Inc.",2026-03-26
US,VRSK,"Verisk Analytics, Inc.",2026-03-26
US,VZ,Verizon Communications Inc.,2026-03-26
US,VSNT,"Versant Media Group, Inc.",2026-03-26
US,VRTX,Vertex Pharmaceuticals Incorporated,2026-03-26
US,VRT,Vertiv Holdings Co,2026-03-26
US,VFC,V.F. Corporation,2026-03-26
US,VTRS,Viatris Inc.,2026-03-26
US,VICI,VICI Properties Inc.,2026-03-26
US,VIK,Viking Holdings Ltd,2026-03-26
US,VKTX,"Viking Therapeutics, Inc.",2026-03-26
US,VNOM,"Viper Energy, Inc.",2026-03-26
US,VIRT,"Virtu Financial, Inc.",2026-03-26
US,V,Visa Inc.,2026-03-26
US,VST,Vistra Corp.,2026-03-26
US,VNT,Vontier Corporation,2026-03-26
US,VNO,Vornado Realty Trust,2026-03-26
US,VOYA,"Voya Financial, Inc.",2026-03-26
US,VMC,Vulcan Materials Company,2026-03-26
US,WPC,W. P. Carey Inc.,2026-03-26
US,WRB,W. R. Berkley Corporation,2026-03-26
US,GWW,"W.W. Grainger, Inc.",2026-03-26
US,WAB,Westinghouse Air Brake Technologies Corporation,2026-03-26
US,WMT,Walmart Inc.,2026-03-26
US,DIS,The Walt Disney Company,2026-03-26
US,WBD,"Warner Bros. Discovery, Inc.",2026-03-26
US,WM,"Waste Management, Inc.",2026-03-26
US,WAT,Waters Corporation,2026-03-26
US,WSO,"Watsco, Inc.",2026-03-26
US,W,Wayfair Inc.,2026-03-26
US,WFRD,Weatherford International plc,2026-03-26
US,WBS,Webster Financial Corporation,2026-03-26
US,WEC,"WEC Energy Group, Inc.",2026-03-26
US,WFC,Wells Fargo & Company,2026-03-26
US,WELL,Welltower Inc.,2026-03-26
US,WEN,The Wendy's Company,2026-03-26
US,WCC,"WESCO International, Inc.",2026-03-26
US,WST,"West Pharmaceutical Services, Inc.",2026-03-26
US,WAL,Western Alliance Bancorporation,2026-03-26
US,WDC,Western Digital Corporation,2026-03-26
US,WU,The Western Union Company,2026-03-26
US,WLK,Westlake Corporation,2026-03-26
US,WEX,WEX Inc.,2026-03-26
US,WY,Weyerhaeuser Company,2026-03-26
US,WHR,Whirlpool Corporation,2026-03-26
US,WTM,"White Mountains Insurance Group, Ltd.",2026-03-26
US,WMB,"The Williams Companies, Inc.",2026-03-26
US,WSM,"Williams-Sonoma, Inc.",2026-03-26
US,WTW,Willis Towers Watson Public Limited Company,2026-03-26
US,WSC,WillScot Holdings Corporation,2026-03-26
US,WING,Wingstop Inc.,2026-03-26
US,WTFC,Wintrust Financial Corporation,2026-03-26
US,WWD,"Woodward, Inc.",2026-03-26
US,WDAY,"Workday, Inc.",2026-03-26
US,WH,"Wyndham Hotels & Resorts, Inc.",2026-03-26
US,WYNN,"Wynn Resorts, Limited",2026-03-26
US,XEL,Xcel Energy Inc.,2026-03-26
US,XP,XP Inc.,2026-03-26
US,XPO,"XPO, Inc.",2026-03-26
US,XYL,Xylem Inc.,2026-03-26
US,YETI,"YETI Holdings, Inc.",2026-03-26
US,YUM,"Yum! Brands, Inc.",2026-03-26
US,ZBRA,Zebra Technologies Corporation,2026-03-26
US,ZG,"Zillow Group, Inc.",2026-03-26
US,Z,"Zillow Group, Inc.",2026-03-26
US,ZBH,"Zimmer Biomet Holdings, Inc.",2026-03-26
US,ZION,"Zions Bancorporation, National Association",2026-03-26
US,ZTS,Zoetis Inc.,2026-03-26
US,ZM,"Zoom Communications, Inc.",2026-03-26
US,GTM,ZoomInfo Technologies Inc.,2026-03-26
US,ZS,"Zscaler, Inc.",2026-03-26
